id_specjalizacji,nazwa_specjalizacji,opis
40,Kardiologia,Wymaga szczegółowej wiedzy i doświadczenia klinicznego.
41,Radioterapia onkologiczna,Specjalizacja zajmująca się diagnozowaniem i leczeniem schorzeń.
42,Neurochirurgia,Dziedzina medycyny skupiona na profilaktyce i terapii.
43,Pediatria,Wymaga szczegółowej wiedzy i doświadczenia klinicznego.
44,Balneologia,Wymaga szczegółowej wiedzy i doświadczenia klinicznego.
45,Ortodoncja,Stosowana w leczeniu pacjentów w różnym wieku.
46,Pulmonologia,Stosowana w leczeniu pacjentów w różnym wieku.
47,Chirurgia dziecięca,Wymaga szczegółowej wiedzy i doświadczenia klinicznego.
48,Mikrobiologia lekarska,Specjalizacja zajmująca się diagnozowaniem i leczeniem schorzeń.
49,Opieka długoterminowa,Związana z opieką specjalistyczną i szpitalną.
50,Chirurgia szczękowo-twarzowa,Specjalizacja zajmująca się diagnozowaniem i leczeniem schorzeń.
51,Psychiatria dziecięca,Specjalizacja zajmująca się diagnozowaniem i leczeniem schorzeń.
52,Intensywna terapia,Specjalizacja zajmująca się diagnozowaniem i leczeniem schorzeń.
53,Choroby zakaźne,Dziedzina medycyny skupiona na profilaktyce i terapii.
54,Geriatria,Wymaga szczegółowej wiedzy i doświadczenia klinicznego.
55,Hematologia,Stosowana w leczeniu pacjentów w różnym wieku.
56,Reumatologia,Wymaga szczegółowej wiedzy i doświadczenia klinicznego.
57,Anestezjologia,Wymaga szczegółowej wiedzy i doświadczenia klinicznego.
58,Ginekologia,Specjalizacja zajmująca się diagnozowaniem i leczeniem schorzeń.
59,Medycyna rodzinna,Związana z opieką specjalistyczną i szpitalną.
60,Immunologia,Dziedzina medycyny skupiona na profilaktyce i terapii.
61,Neurologia,Stosowana w leczeniu pacjentów w różnym wieku.
62,Ginekologia onkologiczna,Specjalizacja zajmująca się diagnozowaniem i leczeniem schorzeń.
63,Medycyna paliatywna,Specjalizacja zajmująca się diagnozowaniem i leczeniem schorzeń.
64,Medycyna pracy,Stosowana w leczeniu pacjentów w różnym wieku.
65,Logopedia kliniczna,Wymaga szczegółowej wiedzy i doświadczenia klinicznego.
66,Otorynolaryngologia,Dziedzina medycyny skupiona na profilaktyce i terapii.
67,Specjalista leczenia ran,Stosowana w leczeniu pacjentów w różnym wieku.
68,Specjalista leczenia bólu,Związana z opieką specjalistyczną i szpitalną.
69,Specjalista leczenia otyłości,Wymaga szczegółowej wiedzy i doświadczenia klinicznego.
70,Specjalista chorób metabolicznych,Wymaga szczegółowej wiedzy i doświadczenia klinicznego.
71,Specjalista żywienia klinicznego,Stosowana w leczeniu pacjentów w różnym wieku.
72,Specjalista terapii uzależnień,Specjalizacja zajmująca się diagnozowaniem i leczeniem schorzeń.
73,Specjalista medycyny stylu życia,Wymaga szczegółowej wiedzy i doświadczenia klinicznego.
74,Specjalista medycyny zapobiegawczej,Stosowana w leczeniu pacjentów w różnym wieku.
75,Specjalista opieki geriatrycznej,Związana z opieką specjalistyczną i szpitalną.
76,Specjalista diagnostyki ultrasonograficznej,Związana z opieką specjalistyczną i szpitalną.
77,Specjalista opieki paliatywnej,Związana z opieką specjalistyczną i szpitalną.
