id_badania,nazwa,opis
105,Gastroskopia,Ocena stanu układu krążenia.
106,Test obciążenia glukozą,Pomiar funkcji narządów wewnętrznych.
107,Badanie hormonalne,Zalecane przy podejrzeniu infekcji.
108,RTG klatki piersiowej,Standardowe badanie diagnostyczne.
109,Badanie moczu,Standardowe badanie diagnostyczne.
110,Badanie tarczycy,Ocena stanu układu krążenia.
111,Tomografia komputerowa,Standardowe badanie diagnostyczne.
112,Cytologia,Wyniki dostępne w ciągu 24 godzin.
113,Kolonoskopia,Stosowane w diagnostyce przewlekłych chorób.
114,Badanie poziomu cukru,Wskazanie do wykonania w ramach profilaktyki.
115,USG jamy brzusznej,Pomiar funkcji narządów wewnętrznych.
116,Morfologia krwi,Standardowe badanie diagnostyczne.
117,Lipidogram,Ocena stanu układu krążenia.
118,Badanie hormonalne,Ocena stanu układu krążenia.
119,Lipidogram,Wyniki dostępne w ciągu 24 godzin.
120,USG jamy brzusznej,Zalecane przy podejrzeniu infekcji.
121,Morfologia krwi,Ocena stanu układu krążenia.
122,Cytologia,Wyniki dostępne w ciągu 24 godzin.
123,USG jamy brzusznej,Zalecane przy podejrzeniu infekcji.
124,Badanie okulistyczne,Wymaga przygotowania na czczo.
125,Gastroskopia,Standardowe badanie diagnostyczne.
126,Badanie tarczycy,Badanie obrazowe wysokiej rozdzielczości.
127,Kolonoskopia,Zalecane przy podejrzeniu infekcji.
128,Badanie poziomu cukru,Stosowane w diagnostyce przewlekłych chorób.
129,Test obciążenia glukozą,Wyniki dostępne w ciągu 24 godzin.
130,Test PCR,Stosowane w diagnostyce przewlekłych chorób.
131,Echo serca,Standardowe badanie diagnostyczne.
132,Spirometria,Stosowane w diagnostyce przewlekłych chorób.
133,Morfologia krwi,Pomiar funkcji narządów wewnętrznych.
134,Test PCR,Badanie obrazowe wysokiej rozdzielczości.
135,Test PCR,Wymaga przygotowania na czczo.
136,Lipidogram,Ocena stanu układu krążenia.
137,Holter EKG,Wymaga przygotowania na czczo.
138,Gastroskopia,Badanie obrazowe wysokiej rozdzielczości.
139,Rezonans magnetyczny,Ocena stanu układu krążenia.
140,Holter EKG,Stosowane w diagnostyce przewlekłych chorób.
141,Test obciążenia glukozą,Stosowane w diagnostyce przewlekłych chorób.
142,Badanie poziomu cukru,Nieinwazyjne i bezbolesne.
143,Badanie poziomu cukru,Stosowane w diagnostyce przewlekłych chorób.
144,Badanie tarczycy,Standardowe badanie diagnostyczne.
145,Spirometria,Wymaga przygotowania na czczo.
146,Holter EKG,Ocena stanu układu krążenia.
147,Holter EKG,Badanie obrazowe wysokiej rozdzielczości.
148,Spirometria,Stosowane w diagnostyce przewlekłych chorób.
149,EKG,Wskazanie do wykonania w ramach profilaktyki.
150,Spirometria,Wskazanie do wykonania w ramach profilaktyki.
151,Badanie poziomu witaminy D,Zalecane przy podejrzeniu infekcji.
152,Cytologia,Standardowe badanie diagnostyczne.
153,Cytologia,Stosowane w diagnostyce przewlekłych chorób.
154,Lipidogram,Nieinwazyjne i bezbolesne.
155,Cytologia,Wskazanie do wykonania w ramach profilaktyki.
156,USG jamy brzusznej,Stosowane w diagnostyce przewlekłych chorób.
157,Badanie tarczycy,Ocena stanu układu krążenia.
158,Morfologia krwi,Stosowane w diagnostyce przewlekłych chorób.
159,Badanie kału,Nieinwazyjne i bezbolesne.
160,Morfologia krwi,Zalecane przy podejrzeniu infekcji.
161,Rezonans magnetyczny,Ocena stanu układu krążenia.
162,Badanie okulistyczne,Pomiar funkcji narządów wewnętrznych.
163,Badanie tarczycy,Badanie obrazowe wysokiej rozdzielczości.
164,Test obciążenia glukozą,Badanie obrazowe wysokiej rozdzielczości.
165,Tomografia komputerowa,Ocena stanu układu krążenia.
166,Morfologia krwi,Wyniki dostępne w ciągu 24 godzin.
167,USG jamy brzusznej,Badanie obrazowe wysokiej rozdzielczości.
168,Morfologia krwi,Stosowane w diagnostyce przewlekłych chorób.
169,Cytologia,Nieinwazyjne i bezbolesne.
170,USG jamy brzusznej,Wskazanie do wykonania w ramach profilaktyki.
171,Cytologia,Pomiar funkcji narządów wewnętrznych.
172,Spirometria,Pomiar funkcji narządów wewnętrznych.
173,EKG,Wskazanie do wykonania w ramach profilaktyki.
174,Echo serca,Wskazanie do wykonania w ramach profilaktyki.
175,Gastroskopia,Zalecane przy podejrzeniu infekcji.
176,Badanie hormonalne,Nieinwazyjne i bezbolesne.
177,Echo serca,Wyniki dostępne w ciągu 24 godzin.
178,Badanie poziomu cukru,Stosowane w diagnostyce przewlekłych chorób.
179,Tomografia komputerowa,Zalecane przy podejrzeniu infekcji.
180,EKG,Badanie obrazowe wysokiej rozdzielczości.
181,Badanie hormonalne,Badanie obrazowe wysokiej rozdzielczości.
182,Rezonans magnetyczny,Wyniki dostępne w ciągu 24 godzin.
183,USG jamy brzusznej,Stosowane w diagnostyce przewlekłych chorób.
184,Badanie okulistyczne,Stosowane w diagnostyce przewlekłych chorób.
185,Badanie poziomu cukru,Nieinwazyjne i bezbolesne.
186,Lipidogram,Wyniki dostępne w ciągu 24 godzin.
187,Tomografia komputerowa,Nieinwazyjne i bezbolesne.
188,Rezonans magnetyczny,Stosowane w diagnostyce przewlekłych chorób.
189,Echo serca,Pomiar funkcji narządów wewnętrznych.
190,Spirometria,Stosowane w diagnostyce przewlekłych chorób.
191,USG jamy brzusznej,Wskazanie do wykonania w ramach profilaktyki.
192,RTG klatki piersiowej,Wyniki dostępne w ciągu 24 godzin.
193,Audiometria,Pomiar funkcji narządów wewnętrznych.
194,Test alergiczny,Nieinwazyjne i bezbolesne.
195,EKG,Badanie obrazowe wysokiej rozdzielczości.
196,Cytologia,Wyniki dostępne w ciągu 24 godzin.
197,Cytologia,Wskazanie do wykonania w ramach profilaktyki.
198,RTG klatki piersiowej,Pomiar funkcji narządów wewnętrznych.
199,Lipidogram,Badanie obrazowe wysokiej rozdzielczości.
200,Rezonans magnetyczny,Standardowe badanie diagnostyczne.
201,Test obciążenia glukozą,Nieinwazyjne i bezbolesne.
202,Rezonans magnetyczny,Pomiar funkcji narządów wewnętrznych.
203,Echo serca,Standardowe badanie diagnostyczne.
204,Badanie okulistyczne,Stosowane w diagnostyce przewlekłych chorób.
205,Morfologia krwi,Standardowe badanie diagnostyczne.
206,USG jamy brzusznej,Ocena stanu układu krążenia.
207,Badanie kału,Pomiar funkcji narządów wewnętrznych.
208,Lipidogram,Wyniki dostępne w ciągu 24 godzin.
209,RTG klatki piersiowej,Wskazanie do wykonania w ramach profilaktyki.
210,Tomografia komputerowa,Wymaga przygotowania na czczo.
211,Rezonans magnetyczny,Wyniki dostępne w ciągu 24 godzin.
212,Echo serca,Nieinwazyjne i bezbolesne.
213,Spirometria,Nieinwazyjne i bezbolesne.
214,Holter EKG,Stosowane w diagnostyce przewlekłych chorób.
215,Kolonoskopia,Wyniki dostępne w ciągu 24 godzin.
216,Morfologia krwi,Standardowe badanie diagnostyczne.
217,USG jamy brzusznej,Wskazanie do wykonania w ramach profilaktyki.
218,Spirometria,Badanie obrazowe wysokiej rozdzielczości.
219,Tomografia komputerowa,Nieinwazyjne i bezbolesne.
220,Badanie okulistyczne,Wyniki dostępne w ciągu 24 godzin.
221,Badanie okulistyczne,Wskazanie do wykonania w ramach profilaktyki.
222,Badanie kału,Zalecane przy podejrzeniu infekcji.
223,Rezonans magnetyczny,Ocena stanu układu krążenia.
224,USG jamy brzusznej,Ocena stanu układu krążenia.
225,Holter EKG,Pomiar funkcji narządów wewnętrznych.
226,Morfologia krwi,Wskazanie do wykonania w ramach profilaktyki.
227,USG jamy brzusznej,Standardowe badanie diagnostyczne.
228,Cytologia,Badanie obrazowe wysokiej rozdzielczości.
229,Badanie przeciwciał,Standardowe badanie diagnostyczne.
230,USG jamy brzusznej,Zalecane przy podejrzeniu infekcji.
231,Test obciążenia glukozą,Pomiar funkcji narządów wewnętrznych.
232,Morfologia krwi,Stosowane w diagnostyce przewlekłych chorób.
233,Tomografia komputerowa,Wskazanie do wykonania w ramach profilaktyki.
234,EKG,Zalecane przy podejrzeniu infekcji.
235,Kolonoskopia,Nieinwazyjne i bezbolesne.
236,Lipidogram,Zalecane przy podejrzeniu infekcji.
237,Audiometria,Standardowe badanie diagnostyczne.
238,Audiometria,Pomiar funkcji narządów wewnętrznych.
239,Badanie kału,Wskazanie do wykonania w ramach profilaktyki.
240,RTG klatki piersiowej,Stosowane w diagnostyce przewlekłych chorób.
241,Rezonans magnetyczny,Wymaga przygotowania na czczo.
242,RTG klatki piersiowej,Standardowe badanie diagnostyczne.
243,Badanie tarczycy,Zalecane przy podejrzeniu infekcji.
244,Lipidogram,Stosowane w diagnostyce przewlekłych chorób.
245,Kolonoskopia,Standardowe badanie diagnostyczne.
246,Morfologia krwi,Wskazanie do wykonania w ramach profilaktyki.
247,Test alergiczny,Zalecane przy podejrzeniu infekcji.
248,Spirometria,Stosowane w diagnostyce przewlekłych chorób.
249,Gastroskopia,Badanie obrazowe wysokiej rozdzielczości.
250,Badanie okulistyczne,Pomiar funkcji narządów wewnętrznych.
251,Badanie okulistyczne,Wyniki dostępne w ciągu 24 godzin.
252,Badanie kału,Nieinwazyjne i bezbolesne.
253,Test obciążenia glukozą,Badanie obrazowe wysokiej rozdzielczości.
254,Badanie tarczycy,Ocena stanu układu krążenia.
255,Test obciążenia glukozą,Badanie obrazowe wysokiej rozdzielczości.
256,Test obciążenia glukozą,Wymaga przygotowania na czczo.
257,Lipidogram,Pomiar funkcji narządów wewnętrznych.
258,Rezonans magnetyczny,Stosowane w diagnostyce przewlekłych chorób.
259,Test alergiczny,Wyniki dostępne w ciągu 24 godzin.
260,Echo serca,Zalecane przy podejrzeniu infekcji.
261,Lipidogram,Zalecane przy podejrzeniu infekcji.
262,Badanie poziomu witaminy D,Badanie obrazowe wysokiej rozdzielczości.
263,Rezonans magnetyczny,Wskazanie do wykonania w ramach profilaktyki.
264,Badanie moczu,Wyniki dostępne w ciągu 24 godzin.
265,Holter EKG,Zalecane przy podejrzeniu infekcji.
266,Badanie moczu,Zalecane przy podejrzeniu infekcji.
267,RTG klatki piersiowej,Wyniki dostępne w ciągu 24 godzin.
268,Kolonoskopia,Standardowe badanie diagnostyczne.
269,Rezonans magnetyczny,Pomiar funkcji narządów wewnętrznych.
270,Test PCR,Badanie obrazowe wysokiej rozdzielczości.
271,Badanie hormonalne,Stosowane w diagnostyce przewlekłych chorób.
272,Badanie poziomu cukru,Wymaga przygotowania na czczo.
273,Badanie hormonalne,Nieinwazyjne i bezbolesne.
274,USG jamy brzusznej,Wskazanie do wykonania w ramach profilaktyki.
275,Gastroskopia,Wymaga przygotowania na czczo.
276,Audiometria,Pomiar funkcji narządów wewnętrznych.
277,Badanie tarczycy,Wyniki dostępne w ciągu 24 godzin.
278,Spirometria,Wymaga przygotowania na czczo.
279,Kolonoskopia,Nieinwazyjne i bezbolesne.
280,Lipidogram,Badanie obrazowe wysokiej rozdzielczości.
281,RTG klatki piersiowej,Ocena stanu układu krążenia.
282,Test alergiczny,Badanie obrazowe wysokiej rozdzielczości.
283,Lipidogram,Standardowe badanie diagnostyczne.
284,Audiometria,Ocena stanu układu krążenia.
285,Badanie tarczycy,Wymaga przygotowania na czczo.
286,Test obciążenia glukozą,Badanie obrazowe wysokiej rozdzielczości.
287,Badanie kału,Wyniki dostępne w ciągu 24 godzin.
288,Gastroskopia,Badanie obrazowe wysokiej rozdzielczości.
289,Spirometria,Wymaga przygotowania na czczo.
290,Holter EKG,Wyniki dostępne w ciągu 24 godzin.
291,Tomografia komputerowa,Pomiar funkcji narządów wewnętrznych.
292,Badanie kału,Ocena stanu układu krążenia.
293,Badanie przeciwciał,Wyniki dostępne w ciągu 24 godzin.
294,Badanie poziomu cukru,Nieinwazyjne i bezbolesne.
295,Holter EKG,Standardowe badanie diagnostyczne.
296,Kolonoskopia,Pomiar funkcji narządów wewnętrznych.
297,RTG klatki piersiowej,Wskazanie do wykonania w ramach profilaktyki.
298,Badanie tarczycy,Wyniki dostępne w ciągu 24 godzin.
299,Badanie okulistyczne,Standardowe badanie diagnostyczne.
300,Badanie poziomu cukru,Pomiar funkcji narządów wewnętrznych.
301,Badanie tarczycy,Stosowane w diagnostyce przewlekłych chorób.
302,Kolonoskopia,Pomiar funkcji narządów wewnętrznych.
303,USG jamy brzusznej,Pomiar funkcji narządów wewnętrznych.
304,Badanie poziomu cukru,Nieinwazyjne i bezbolesne.
305,Badanie moczu,Stosowane w diagnostyce przewlekłych chorób.
306,Tomografia komputerowa,Standardowe badanie diagnostyczne.
307,Badanie poziomu witaminy D,Standardowe badanie diagnostyczne.
308,Holter EKG,Pomiar funkcji narządów wewnętrznych.
309,Test PCR,Pomiar funkcji narządów wewnętrznych.
310,EKG,Standardowe badanie diagnostyczne.
311,Echo serca,Wyniki dostępne w ciągu 24 godzin.
312,Audiometria,Standardowe badanie diagnostyczne.
313,Badanie hormonalne,Stosowane w diagnostyce przewlekłych chorób.
314,EKG,Wymaga przygotowania na czczo.
315,EKG,Zalecane przy podejrzeniu infekcji.
316,EKG,Wskazanie do wykonania w ramach profilaktyki.
317,Test PCR,Badanie obrazowe wysokiej rozdzielczości.
318,Badanie poziomu cukru,Zalecane przy podejrzeniu infekcji.
319,Badanie poziomu witaminy D,Standardowe badanie diagnostyczne.
320,Rezonans magnetyczny,Pomiar funkcji narządów wewnętrznych.
321,Gastroskopia,Wskazanie do wykonania w ramach profilaktyki.
322,Badanie hormonalne,Ocena stanu układu krążenia.
323,RTG klatki piersiowej,Nieinwazyjne i bezbolesne.
324,Tomografia komputerowa,Standardowe badanie diagnostyczne.
325,Badanie poziomu cukru,Stosowane w diagnostyce przewlekłych chorób.
326,Cytologia,Wymaga przygotowania na czczo.
327,Kolonoskopia,Wyniki dostępne w ciągu 24 godzin.
328,Badanie okulistyczne,Zalecane przy podejrzeniu infekcji.
329,Badanie hormonalne,Nieinwazyjne i bezbolesne.
330,Morfologia krwi,Zalecane przy podejrzeniu infekcji.
331,Badanie hormonalne,Nieinwazyjne i bezbolesne.
332,Tomografia komputerowa,Wskazanie do wykonania w ramach profilaktyki.
333,Kolonoskopia,Stosowane w diagnostyce przewlekłych chorób.
334,Cytologia,Standardowe badanie diagnostyczne.
335,Morfologia krwi,Nieinwazyjne i bezbolesne.
336,Lipidogram,Standardowe badanie diagnostyczne.
337,USG jamy brzusznej,Pomiar funkcji narządów wewnętrznych.
338,EKG,Pomiar funkcji narządów wewnętrznych.
339,Badanie moczu,Nieinwazyjne i bezbolesne.
340,Cytologia,Stosowane w diagnostyce przewlekłych chorób.
341,Test alergiczny,Wskazanie do wykonania w ramach profilaktyki.
342,Badanie przeciwciał,Stosowane w diagnostyce przewlekłych chorób.
343,Kolonoskopia,Standardowe badanie diagnostyczne.
344,Badanie tarczycy,Wyniki dostępne w ciągu 24 godzin.
345,RTG klatki piersiowej,Wskazanie do wykonania w ramach profilaktyki.
346,EKG,Wskazanie do wykonania w ramach profilaktyki.
347,Badanie okulistyczne,Wymaga przygotowania na czczo.
348,Rezonans magnetyczny,Wskazanie do wykonania w ramach profilaktyki.
349,Badanie poziomu witaminy D,Badanie obrazowe wysokiej rozdzielczości.
350,RTG klatki piersiowej,Pomiar funkcji narządów wewnętrznych.
351,Badanie okulistyczne,Stosowane w diagnostyce przewlekłych chorób.
352,Badanie hormonalne,Pomiar funkcji narządów wewnętrznych.
353,Badanie przeciwciał,Standardowe badanie diagnostyczne.
354,Badanie kału,Zalecane przy podejrzeniu infekcji.
355,RTG klatki piersiowej,Standardowe badanie diagnostyczne.
356,Badanie poziomu cukru,Wyniki dostępne w ciągu 24 godzin.
357,Badanie hormonalne,Stosowane w diagnostyce przewlekłych chorób.
358,Badanie moczu,Wyniki dostępne w ciągu 24 godzin.
359,Test PCR,Standardowe badanie diagnostyczne.
360,Badanie moczu,Stosowane w diagnostyce przewlekłych chorób.
361,EKG,Standardowe badanie diagnostyczne.
362,Test alergiczny,Pomiar funkcji narządów wewnętrznych.
363,Rezonans magnetyczny,Standardowe badanie diagnostyczne.
364,Badanie moczu,Ocena stanu układu krążenia.
365,RTG klatki piersiowej,Badanie obrazowe wysokiej rozdzielczości.
366,Badanie poziomu witaminy D,Wyniki dostępne w ciągu 24 godzin.
367,USG jamy brzusznej,Zalecane przy podejrzeniu infekcji.
368,Holter EKG,Wyniki dostępne w ciągu 24 godzin.
369,Badanie przeciwciał,Stosowane w diagnostyce przewlekłych chorób.
370,EKG,Wymaga przygotowania na czczo.
371,Badanie przeciwciał,Pomiar funkcji narządów wewnętrznych.
372,Badanie poziomu witaminy D,Stosowane w diagnostyce przewlekłych chorób.
373,Tomografia komputerowa,Badanie obrazowe wysokiej rozdzielczości.
374,Cytologia,Pomiar funkcji narządów wewnętrznych.
375,Test PCR,Wymaga przygotowania na czczo.
376,Cytologia,Stosowane w diagnostyce przewlekłych chorób.
377,Kolonoskopia,Nieinwazyjne i bezbolesne.
378,RTG klatki piersiowej,Pomiar funkcji narządów wewnętrznych.
379,Badanie poziomu cukru,Zalecane przy podejrzeniu infekcji.
380,RTG klatki piersiowej,Standardowe badanie diagnostyczne.
381,Lipidogram,Wskazanie do wykonania w ramach profilaktyki.
382,Test obciążenia glukozą,Stosowane w diagnostyce przewlekłych chorób.
383,Morfologia krwi,Standardowe badanie diagnostyczne.
384,Badanie poziomu cukru,Stosowane w diagnostyce przewlekłych chorób.
385,Lipidogram,Badanie obrazowe wysokiej rozdzielczości.
386,RTG klatki piersiowej,Zalecane przy podejrzeniu infekcji.
387,Holter EKG,Ocena stanu układu krążenia.
388,Badanie okulistyczne,Wskazanie do wykonania w ramach profilaktyki.
389,Echo serca,Wyniki dostępne w ciągu 24 godzin.
390,RTG klatki piersiowej,Wymaga przygotowania na czczo.
391,Echo serca,Badanie obrazowe wysokiej rozdzielczości.
392,Test alergiczny,Nieinwazyjne i bezbolesne.
393,Badanie okulistyczne,Wymaga przygotowania na czczo.
394,Badanie hormonalne,Wymaga przygotowania na czczo.
395,Test obciążenia glukozą,Wyniki dostępne w ciągu 24 godzin.
396,Gastroskopia,Stosowane w diagnostyce przewlekłych chorób.
397,Badanie okulistyczne,Pomiar funkcji narządów wewnętrznych.
398,Badanie kału,Standardowe badanie diagnostyczne.
399,Morfologia krwi,Ocena stanu układu krążenia.
400,Echo serca,Wskazanie do wykonania w ramach profilaktyki.
401,Badanie poziomu cukru,Nieinwazyjne i bezbolesne.
402,Kolonoskopia,Pomiar funkcji narządów wewnętrznych.
403,Morfologia krwi,Wymaga przygotowania na czczo.
404,Tomografia komputerowa,Pomiar funkcji narządów wewnętrznych.
405,Morfologia krwi,Zalecane przy podejrzeniu infekcji.
406,Echo serca,Wymaga przygotowania na czczo.
407,Badanie poziomu cukru,Pomiar funkcji narządów wewnętrznych.
408,Test alergiczny,Nieinwazyjne i bezbolesne.
409,Badanie poziomu cukru,Nieinwazyjne i bezbolesne.
410,Gastroskopia,Zalecane przy podejrzeniu infekcji.
411,Badanie tarczycy,Badanie obrazowe wysokiej rozdzielczości.
412,Test alergiczny,Nieinwazyjne i bezbolesne.
413,Test obciążenia glukozą,Standardowe badanie diagnostyczne.
414,Badanie przeciwciał,Nieinwazyjne i bezbolesne.
415,Badanie hormonalne,Stosowane w diagnostyce przewlekłych chorób.
416,Badanie okulistyczne,Nieinwazyjne i bezbolesne.
417,Badanie kału,Wymaga przygotowania na czczo.
418,Gastroskopia,Pomiar funkcji narządów wewnętrznych.
419,EKG,Zalecane przy podejrzeniu infekcji.
420,Morfologia krwi,Standardowe badanie diagnostyczne.
421,Test obciążenia glukozą,Standardowe badanie diagnostyczne.
422,Badanie przeciwciał,Ocena stanu układu krążenia.
423,Badanie hormonalne,Standardowe badanie diagnostyczne.
424,Cytologia,Wymaga przygotowania na czczo.
425,Morfologia krwi,Badanie obrazowe wysokiej rozdzielczości.
426,Holter EKG,Ocena stanu układu krążenia.
427,Spirometria,Wyniki dostępne w ciągu 24 godzin.
428,Badanie kału,Standardowe badanie diagnostyczne.
429,Rezonans magnetyczny,Zalecane przy podejrzeniu infekcji.
430,USG jamy brzusznej,Ocena stanu układu krążenia.
431,Badanie poziomu cukru,Wskazanie do wykonania w ramach profilaktyki.
432,Badanie kału,Nieinwazyjne i bezbolesne.
433,Badanie poziomu witaminy D,Standardowe badanie diagnostyczne.
434,Gastroskopia,Pomiar funkcji narządów wewnętrznych.
435,Badanie tarczycy,Pomiar funkcji narządów wewnętrznych.
436,Test PCR,Stosowane w diagnostyce przewlekłych chorób.
437,Holter EKG,Badanie obrazowe wysokiej rozdzielczości.
438,Badanie tarczycy,Pomiar funkcji narządów wewnętrznych.
439,Test obciążenia glukozą,Nieinwazyjne i bezbolesne.
440,USG jamy brzusznej,Nieinwazyjne i bezbolesne.
441,Test obciążenia glukozą,Stosowane w diagnostyce przewlekłych chorób.
442,Test PCR,Ocena stanu układu krążenia.
443,Gastroskopia,Nieinwazyjne i bezbolesne.
444,Badanie poziomu cukru,Standardowe badanie diagnostyczne.
445,Badanie kału,Wymaga przygotowania na czczo.
446,Lipidogram,Nieinwazyjne i bezbolesne.
447,Morfologia krwi,Nieinwazyjne i bezbolesne.
448,Badanie tarczycy,Pomiar funkcji narządów wewnętrznych.
449,Cytologia,Badanie obrazowe wysokiej rozdzielczości.
450,Tomografia komputerowa,Zalecane przy podejrzeniu infekcji.
451,Test alergiczny,Wskazanie do wykonania w ramach profilaktyki.
