id_miejscowosc,nazwa,id_gmina
125,Szeroka Kamienyce,14
126,Lisowo,500
127,Twarda Dębnisko,243
128,Cichy Grabowo,108
129,Wydłużona Borkisko,94
130,Wilcza Borkno,217
131,Ostra Stawcze,368
132,Mokra Stawek,88
133,Zielony Kobylice,237
134,Borknica,278
135,Gliniana Wilkin,534
136,Pusta Łęgnik,74
137,Radosna Sosnęta,36
138,Pusta Wilkcze,370
139,Gładka Rudowo,244
140,Kręta Zarośle,543
141,Czarny Tarnów,249
142,Górna Zawadów,147
143,Cichy Łęgęta,48
144,Mętna Sosnówka,175
145,Wielka Kamienisko,335
146,Słoneczna Kamiencze,519
147,Złota Ropcze,228
148,Gliniana Topolnica,447
149,Nowy Ropnik,312
150,Czarna Żabinowo,165
151,Sucha Topolek,13
152,Piaszczysta Grabice,211
153,Radosna Brzeźno,112
154,Słoneczna Kamienęta,312
155,Wierzchów,578
156,Pusta Źródło,296
157,Mokra Sosnyce,153
158,Cicha Sosnów,585
159,Błękitna Zawadówka,560
160,Bagnista Białice,99
161,Czarna Ropnica,468
162,Spokojna Kamienin,397
163,Czerwona Miechnik,541
164,Biała Kobylno,58
165,Twarda Sosnówka,389
166,Cichy Wolica,306
167,Czarna Dębnice,574
168,Cicha Lisisko,13
169,Radosna Jar,345
170,Górna Krzywice,476
171,Wilcza Wierch,414
172,Słoneczna Krzywcze,56
173,Czarny Ropek,67
174,Stary Odrice,182
175,Kręta Czernisko,65
176,Miła Sosnanka,495
177,Słoneczna Rudno,423
178,Zielona Krzywek,185
179,Kręta Wierzchowo,192
180,Stary Piasknica,122
181,Radosna Piaskcze,288
182,Wysoka Ropanka,521
183,Nowa Sosnek,574
184,Mętna Kobylice,396
185,Szeroka Wierzchówka,536
186,Dolny Zawadanka,139
187,Biała Lisin,53
188,Stary Strumnica,98
189,Górny Grabek,320
190,Biała Kamienek,36
191,Mętna Stawyce,180
192,Radosna Kamienanka,363
193,Strumęta,78
194,Słoneczna Żabinęta,100
195,Biała Ropanka,510
196,Wydłużona Łęgówka,559
197,Wielka Grabów,353
198,Mały Białin,375
199,Mętna Sosnęta,19
200,Krzywa Piaskanka,478
201,Czarny Rudnica,114
202,Dolna Wilkno,562
203,Mała Złotice,536
204,Miła Kobylów,325
205,Stary Kamienisko,529
206,Złota Czernówka,510
207,Mokra Łęgcze,269
208,Czarna Rudówka,36
209,Biała Kopce,486
210,Wilcza Sosnek,499
211,Czerwona Lisnik,261
212,Stary Czernowo,264
213,Krosno,272
214,Bagnista Złotno,362
215,Wysoka Borkyce,445
216,Radosna Ropcze,556
217,Mętna Topolów,158
218,Wysoka Żabinek,219
219,Sucha Złotanka,290
220,Dolny Lisisko,380
221,Zimna Brzozówka,245
222,Mała Krzywnica,177
223,Górna Wilkyce,315
224,Szeroka Rudnik,516
225,Nowy Zawadówka,145
226,Biała Dębnice,563
227,Szeroka Łęgcze,465
228,Radosna Borków,436
229,Ostra Borków,448
230,Czarny Miechówka,572
231,Cichy Brzozów,194
232,Radosna Borknica,415
233,Mętna Zawadów,44
234,Kręta Sosnęta,243
235,Gładka Rudanka,204
236,Wielki Ropno,5
237,Wielki Grabcze,11
238,Piaszczysta Wilkice,393
239,Wysoka Brzozek,236
240,Spokojna Kamienówka,341
241,Radosna Wilkice,74
242,Wesoła Rudęta,458
243,Gliniana Odrisko,10
244,Stara Piaskisko,193
245,Czarny Piaskice,374
246,Złota Żabincze,492
247,Sucha Łęgowo,304
248,Wilcza Brzozek,146
249,Nowa Złotek,150
250,Wilcza Miechisko,380
251,Błękitna Korytice,152
252,Cichy Czernnik,531
253,Nowa Grabyce,247
254,Wielki Miechice,73
255,Ropczyce,63
256,Miła Strumowo,379
257,Mały Wolica,573
258,Stary Piaskice,15
259,Sucha Zarośle,469
260,Górna Kobylanka,71
261,Czerwona Zawadnik,577
262,Wielki Grabyce,592
263,Czarny Odrnik,585
264,Miła Rudanka,144
265,Wielki Krzywów,186
266,Czarny Borkno,410
267,Zimna Zawadęta,224
268,Sucha Korytno,102
269,Cichy Kamienice,423
270,Cichy Czernęta,142
271,Bagnista Białisko,518
272,Stary Topolek,540
273,Nowy Lisówka,301
274,Kręta Kobylowo,183
275,Górna Tarnów,500
276,Nowa Baranów,201
277,Błękitna Żabinno,404
278,Nowy Piaskcze,319
279,Dolny Topolcze,316
280,Mały Korytanka,343
281,Pusta Strumcze,210
282,Twarda Cisów,68
283,Miła Łęgowo,391
284,Radosna Świerki,565
285,Wysoka Zawadnica,110
286,Dolna Stawnica,435
287,Górna Wilknik,446
288,Złota Rudin,172
289,Wesoła Korytanka,232
290,Mały Stróże,334
291,Złota Złotin,490
292,Wilcza Sosnisko,52
293,Zimna Knieja,372
294,Twarda Grabów,327
295,Ciepła Grabowo,313
296,Wilcza Dębnnik,232
297,Pusta Most,258
298,Błękitna Stawówka,243
299,Leśna Zawadanka,421
300,Nowy Krzywnica,35
301,Szeroka Baranów,368
302,Spokojna Dębnek,600
303,Czarny Dębnyce,387
304,Miła Borkanka,116
305,Czarny Złotówka,582
306,Wysoka Piaskowo,570
307,Ostra Ropyce,366
308,Czarna Korytnica,572
309,Wydłużona Kamionki,272
310,Wielka Dębnno,405
311,Stara Borkno,245
312,Rudisko,442
313,Leśna Żabinin,278
314,Zimna Białówka,220
315,Dolny Korytin,117
316,Pusta Borków,335
317,Górna Góra,440
318,Wesoła Odrice,367
319,Mokra Stawyce,163
320,Błękitna Stawanka,108
321,Piaszczysta Łęgowo,475
322,Słoneczna Strumisko,99
323,Miła Błonie,403
324,Ropanka,111
325,Leśna Odranka,298
326,Miła Ropno,498
327,Cichy Zagórze,567
328,Spokojna Kobylisko,531
329,Dolny Ropisko,501
330,Mokra Głogów,70
331,Nowy Ropin,299
332,Zielony Kamienówka,98
333,Radosna Lisin,219
334,Nowy Brzozcze,423
335,Cichy Rudnica,128
336,Wielka Knieja,240
337,Radosna Kamienno,131
338,Spokojna Miechisko,467
339,Górny Czerncze,442
340,Ostra Krzywno,472
341,Czerwona Wilkek,176
342,Krzywa Lisisko,261
343,Pusta Wilkanka,386
344,Zielony Łęgisko,357
345,Bagnista Rzeka,10
346,Twarda Olszówka,13
347,Miła Rzeka,575
348,Dolna Złotęta,363
349,Zielony Ropek,583
350,Szeroka Bór,234
351,Mętna Łęgisko,236
352,Szeroka Miechnik,496
353,Cicha Skrzynka,363
354,Twarda Wilkcze,487
355,Zimna Sosnisko,482
356,Stara Grabice,17
357,Słoneczna Piaskin,80
358,Stary Wierzchice,485
359,Spokojna Topolnik,504
360,Stara Zawadek,238
361,Dolny Wierzchin,177
362,Miła Lisek,262
363,Ciepła Białice,373
364,Czerwona Rudowo,80
365,Czarny Ropyce,330
366,Czarny Dębnówka,35
367,Kręta Kamienyce,526
368,Słoneczna Topolęta,284
369,Kręta Łęgek,46
370,Wilcza Uroczysko,535
371,Mała Lisice,512
372,Radosna Rudyce,565
373,Wysoka Miechnik,333
374,Piaszczysta Krzywcze,151
375,Mały Białówka,412
376,Wielka Źródło,74
377,Błękitna Topolin,417
378,Nowa Stawęta,507
379,Stary Las,413
380,Górna Łęgęta,28
381,Dolna Lisisko,25
382,Cicha Łęgcze,493
383,Bagnista Białno,123
384,Górny Korytęta,501
385,Wesoła Odrów,426
386,Dolny Kamiencze,130
387,Odrno,221
388,Miła Kobylin,270
389,Czarny Ropęta,118
390,Stara Odryce,207
391,Gładka Strumnica,322
392,Wydłużona Korytisko,278
393,Słoneczna Krzywnica,355
394,Radosna Ropisko,317
395,Mętna Topolnica,71
396,Ciepła Błonie,66
397,Gliniana Dębnek,267
398,Zimna Zawadanka,282
399,Spokojna Kobylnica,56
400,Bagnista Łęgisko,489
401,Czarna Piaskice,171
402,Złota Cisów,254
403,Ostra Strumnica,561
404,Ostra Miechęta,391
405,Krzywa Miechyce,69
406,Biała Piaskęta,501
407,Czerwona Odrek,286
408,Mętna Dębnnik,67
409,Stara Łęgek,358
410,Mały Odręta,582
411,Wielka Wierch,52
412,Wysoka Wierzchice,461
413,Nowa Miechisko,473
414,Zielona Topolice,147
415,Krzywa Baranów,122
416,Szeroka Brzozęta,37
417,Wydłużona Brzeźno,587
418,Gliniana Rudcze,345
419,Słoneczna Wrzosy,93
420,Sucha Korytów,454
421,Spokojna Zawadek,93
422,Czerwona Kobylnik,500
423,Zimna Topolęta,530
424,Nowa Zawadno,84
425,Spokojna Piaskcze,28
426,Mętna Grabice,165
427,Bagnista Wilkin,248
428,Szeroka Stawisko,98
429,Mokra Krosno,326
430,Bagnista Wierzchno,575
431,Wysoka Borkowo,348
432,Ciepła Stawin,595
433,Wilcza Piaskice,453
434,Wydłużona Złotyce,357
435,Piaszczysta Rudów,469
436,Twarda Sosny,578
437,Czarny Łany,557
438,Stara Odrcze,545
439,Mała Dębncze,469
440,Nowa Łęgnik,405
441,Spokojna Kobylęta,283
442,Wydłużona Ropin,280
443,Stary Czernin,549
444,Spokojna Sosnisko,273
445,Stara Topolek,322
446,Pusta Złotno,119
447,Czarna Strumów,365
448,Gładka Borkice,118
449,Dolny Wilkno,376
450,Czarny Łęganka,542
451,Wielki Borkcze,599
452,Wielki Łęganka,185
453,Ciepła Borkowo,383
454,Stara Odranka,127
455,Wydłużona Borkęta,143
456,Krzywa Wierzchcze,365
457,Dolna Kobylnik,78
458,Bagnista Miechek,384
459,Wilcza Łęgcze,105
460,Gładka Sosnnik,476
461,Wielka Lisowo,398
462,Kręta Grabanka,248
463,Wilcza Strumice,416
464,Wysoka Zawadin,299
465,Wydłużona Rudęta,507
466,Sucha Żabinek,600
467,Radosna Korytyce,538
468,Twarda Rudice,204
469,Wesoła Kamienowo,91
470,Piaszczysta Stróże,56
471,Dolna Kamienno,24
472,Wielki Zawadęta,330
473,Sucha Piaskowo,407
474,Spokojna Rudanka,283
475,Czarny Dębnnica,56
476,Dolna Białówka,313
477,Nowa Rudcze,98
478,Szeroka Lisin,573
479,Stary Grabnica,218
480,Krzywowo,172
481,Twarda Rudnik,83
482,Gliniana Piaskcze,251
483,Mała Krzywanka,422
484,Ostra Cisów,125
485,Krzywa Stawęta,539
486,Sucha Dębnno,537
487,Piaszczysta Brzozin,495
488,Twarda Żabinówka,356
489,Spokojna Korytęta,382
490,Górna Wierzchno,242
491,Krzywa Odrno,595
492,Mała Wilkek,339
493,Gładka Żabinyce,235
494,Sucha Piaskek,433
495,Wydłużona Złotice,316
496,Gładka Stawyce,427
497,Wydłużona Łęgęta,324
498,Mała Rudnik,244
499,Dolna Borkek,338
500,Zielony Borknica,72
501,Złota Sosnnica,381
502,Kręta Dębnówka,369
503,Piaszczysta Borkęta,408
504,Czarna Korytanka,316
505,Zielona Brzozin,14
506,Słoneczna Piaskyce,75
507,Stary Grabowo,247
508,Ciepła Bór,173
509,Wesoła Kobylnica,73
510,Gliniana Zawadice,42
511,Bagnista Czersk,244
512,Zimna Białice,522
513,Ostra Kamienowo,168
514,Szeroka Ropin,28
515,Nowy Młyn,303
516,Cichy Krzywnica,366
517,Wielki Głęboczek,476
518,Stary Brzozyce,71
519,Mała Stróże,173
520,Krzywa Łęgin,377
521,Piaskisko,189
522,Odryce,238
523,Złota Łęgów,319
524,Dolny Stawno,383
525,Błękitna Czernek,334
526,Pusta Zagórze,120
527,Mokra Czernówka,195
528,Gładka Sosnisko,22
529,Słoneczna Las,251
530,Zielona Krzywanka,562
531,Ciepła Krzywowo,255
532,Zielony Mokra,245
533,Kręta Czersk,269
534,Ostra Czernanka,126
535,Błękitna Brzozowo,287
536,Wysoka Rudowo,183
537,Cichy Borkin,27
538,Radosna Żabinyce,134
539,Biała Odrnik,546
540,Ostra Strumno,584
541,Pusta Złotisko,573
542,Bagnista Ropowo,505
543,Gliniana Ropnica,594
544,Piaszczysta Dolina,58
545,Mały Bór,309
546,Stara Żabinno,290
547,Sucha Grabyce,142
548,Ciepła Łęgisko,507
549,Biała Wierch,541
550,Mokra Sulisław,464
551,Wilcza Miechowo,182
552,Leśna Strumyce,38
553,Dolny Kamienice,397
554,Słoneczna Borknica,219
555,Nowa Borknik,317
556,Krzywa Brzozisko,129
557,Biała Miechnik,452
558,Dolna Złotów,391
559,Mały Kamienęta,150
560,Sucha Krzywisko,297
561,Spokojna Stawanka,58
562,Biała Kobylice,596
563,Nowy Skrzynka,101
564,Zimna Białin,492
565,Ostra Dębnówka,350
566,Gładka Rudisko,256
567,Wilcza Ropice,102
568,Górna Sosnnik,19
569,Stara Grabcze,243
570,Cichy Wierzchcze,251
571,Błękitna Rudnik,134
572,Stara Błonie,278
573,Miła Wilków,427
574,Twarda Żabinów,201
575,Mętna Rudęta,316
576,Czarna Głęboczek,414
577,Nowa Piaskcze,203
578,Gładka Strumyce,159
579,Pusta Kobylcze,368
580,Górna Żuławy,181
581,Miła Ropek,233
582,Dolny Topolyce,355
583,Cichy Wierzchęta,356
584,Błękitna Kobylno,8
585,Radosna Lisanka,491
586,Krzywa Topolanka,94
587,Wesoła Korytów,497
588,Gładka Rudin,43
589,Wilcza Borkcze,79
590,Dolny Lisek,289
591,Gładka Kamienek,584
592,Spokojna Dębnęta,206
593,Twarda Krzywno,560
594,Wydłużona Lisno,179
595,Wydłużona Czernice,116
596,Ostra Zawadisko,167
597,Spokojna Wilkowo,204
598,Wilcza Kobylnik,379
599,Twarda Złotin,586
600,Zimna Rudowo,559
601,Górna Łęgisko,82
602,Słoneczna Czernanka,260
603,Pusta Ropno,192
604,Złota Żabinice,484
605,Leśna Złotyce,171
606,Gliniana Żuławy,286
607,Górna Korytno,165
608,Mętna Grabęta,400
609,Pusta Lisanka,237
610,Górny Wadowice,336
611,Zimna Dębnówka,532
612,Ostra Odręta,509
613,Zimna Skała,363
614,Zielona Borkin,241
615,Nowa Ropisko,145
616,Gładka Piaskyce,575
617,Górny Olszyny,238
618,Cichy Brzoznik,4
619,Dolny Łęgęta,439
620,Pusta Krzywice,283
621,Spokojna Lisowo,269
622,Słoneczna Sosnyce,150
623,Wysoka Żabinisko,45
624,Czerwona Białanka,356
625,Gładka Korytówka,438
626,Krzywa Złotów,118
627,Wysoka Olszówka,160
628,Kręta Łęgice,116
629,Złota Białyce,411
630,Górna Czernęta,402
631,Nowy Łęgówka,542
632,Dolny Białowo,524
633,Wielka Błonie,564
634,Twarda Strumęta,408
635,Cicha Krzywin,25
636,Spokojna Miechcze,258
637,Biała Białno,372
638,Mały Miechnik,81
639,Mały Dębnówka,132
640,Kręta Kobylęta,104
641,Dolny Grabno,576
642,Górna Złotek,305
643,Ciepła Dębnnica,481
644,Nowy Borkcze,48
645,Stary Czernów,515
646,Radosna Miechówka,95
647,Zimna Łęgice,389
648,Dolna Strumów,179
649,Leśna Stawówka,200
650,Czerwona Przemyśl,333
651,Piaszczysta Krzywno,146
652,Czarny Rudcze,102
653,Olszyny,170
654,Leśna Wilkek,503
655,Krzywnik,443
656,Zielona Rudanka,131
657,Górna Rudęta,79
658,Błękitna Lisów,487
659,Bagnista Lisin,396
660,Bagnista Kamienów,358
661,Krzywa Brzeg,255
662,Kręta Ropanka,200
663,Krzywa Żabinek,201
664,Wielki Białyce,480
665,Krzywa Staw,338
666,Złota Modrzew,28
667,Stary Białcze,131
668,Wilcza Gaj,173
669,Pusta Topolice,417
670,Wysoka Czernanka,401
671,Ciepła Odrice,232
672,Wilcza Łęgnik,190
673,Czarny Rudowo,241
674,Stara Krzywnik,539
675,Wysoka Wierzchnik,513
676,Słoneczna Brzeg,82
677,Gładka Białisko,324
678,Czarna Odrno,501
679,Cicha Sosnowo,581
680,Cicha Kamienęta,537
681,Miła Rudnik,125
682,Miła Radom,26
683,Radosna Białek,432
684,Bagnista Ropówka,447
685,Cichy Korytyce,232
686,Gliniana Piaskowo,388
687,Złota Odranka,516
688,Gliniana Kamiencze,508
689,Wilcza Mokra,357
690,Kręta Czernowo,212
691,Wilcza Piasków,464
692,Nowy Grabcze,445
693,Czarna Brzozin,301
694,Słoneczna Żabinówka,495
695,Miła Kobylówka,387
696,Mały Jar,275
697,Bagnista Grabowo,425
698,Słoneczna Kamiennik,29
699,Mętna Odrcze,258
700,Stary Złotnik,409
701,Pusta Brzozowo,201
702,Wielka Zawadowo,25
703,Cicha Kamień,305
704,Nowa Ropyce,479
705,Stara Korytno,314
706,Wesoła Borkcze,522
707,Czarna Rudno,220
708,Kręta Strumnica,42
709,Mała Stawyce,111
710,Ostra Łęgęta,274
711,Wielka Przemyśl,525
712,Mały Zawadice,237
713,Stary Lisice,163
714,Zielona Grabanka,514
715,Dolna Rudowo,374
716,Mała Piaskanka,397
717,Mokra Korytyce,165
718,Złota Łęgowo,198
719,Stary Jary,81
720,Mała Topolnica,166
721,Wydłużona Topolnik,89
722,Zielony Czersk,520
723,Szeroka Piaskek,71
724,Wilcza Dębnyce,488
725,Czarna Wolica,240
726,Radosna Rudowo,260
727,Gliniana Wierzchyce,501
728,Gliniana Grabcze,17
729,Radosna Odrnica,220
730,Mała Ropin,281
731,Wilcza Olszówka,260
732,Czernówka,61
733,Złota Łęgisko,567
734,Mały Zawadnica,200
735,Bagnista Grabcze,274
736,Ostra Grabnik,50
737,Dolny Topolówka,574
738,Wilcza Rudówka,201
739,Nowy Dębnice,152
740,Miła Czernyce,2
741,Wydłużona Rudowo,410
742,Zimna Zawadnik,274
743,Czerwona Zawadów,185
744,Spokojna Grabisko,5
745,Mały Topolno,447
746,Zielona Wilkęta,278
747,Twarda Złotcze,99
748,Ostra Korytisko,449
749,Miła Kamienęta,352
750,Cichy Lisowo,489
751,Krzywa Borkin,37
752,Zielona Rudno,366
753,Wysoka Dębnin,25
754,Słoneczna Lisice,88
755,Ostra Wilkyce,347
756,Czarny Piasków,222
757,Błękitna Piaskyce,263
758,Czerwona Brzozowo,597
759,Biała Bielawa,318
760,Wysoka Czernów,314
761,Stary Wilkisko,284
762,Biała Borknica,552
763,Dolny Brzeg,592
764,Nowa Łęgówka,15
765,Dolna Modrzew,108
766,Dolna Kobylek,497
767,Zielony Białno,210
768,Cichy Miechów,98
769,Biała Brzozno,448
770,Krzywa Sosnowiec,574
771,Górny Ropin,234
772,Wydłużona Lisyce,452
773,Wydłużona Wilkisko,189
774,Nowy Ropowo,540
775,Słoneczna Sosnówka,276
776,Twarda Lisowo,342
777,Krzywa Sosnów,162
778,Leśna Kamienyce,308
779,Nowa Krzywcze,10
780,Stary Kobylyce,13
781,Sucha Miechęta,98
782,Stara Białin,131
783,Słoneczna Krzywówka,395
784,Zielony Czernówka,535
785,Czarna Piaskówka,449
786,Krzywa Wydma,74
787,Bagnista Złotyce,294
788,Zielona Dębnin,16
789,Ciepła Rudówka,412
790,Mały Wierzchowo,43
791,Krzywa Stawice,193
792,Leśna Piaskęta,486
793,Górna Kobylice,476
794,Spokojna Kamienanka,446
795,Dolny Zawadęta,169
796,Bagnista Grabów,43
797,Stara Zawadyce,210
798,Górny Odrówka,415
799,Miła Krzywyce,43
800,Błękitna Brzozcze,204
801,Mokra Wierzchowo,220
802,Mokra Miechcze,39
803,Szeroka Głogów,217
804,Cichy Zawadice,11
805,Spokojna Olszyny,80
806,Stara Dębnowo,39
807,Bagnista Wilkisko,60
808,Stara Borków,406
809,Ciepła Struga,367
810,Błękitna Ropówka,416
811,Nowy Stawanka,14
812,Gliniana Czernek,251
813,Złota Piaskek,596
814,Miła Borkęta,582
815,Zielony Odrnica,536
816,Piaszczysta Wolica,504
817,Krzywa Żabinyce,120
818,Gładka Wilkek,233
819,Błękitna Wilkęta,309
820,Słoneczna Wierzchęta,94
821,Ostra Lisów,88
822,Nowa Żabinin,233
823,Mętna Lisów,449
824,Mokra Grabisko,497
825,Wesoła Odryce,149
826,Twarda Sosnnik,148
827,Nowa Dębnin,443
828,Mała Kamień,93
829,Gładka Odrcze,544
830,Piaszczysta Rudice,216
831,Cicha Grabówka,5
832,Zimna Sosnice,161
833,Górna Kobylisko,146
834,Złota Krzywowo,394
835,Nowy Ropyce,253
836,Pusta Piasków,166
837,Wesoła Żabinów,518
838,Błękitna Miechyce,449
839,Stary Krzywisko,150
840,Zielona Wierzchnica,379
841,Błękitna Dębnyce,179
842,Ostra Białcze,319
843,Mokra Strumnik,200
844,Spokojna Łęgek,125
845,Zielona Borknik,37
846,Biała Dębnowo,220
847,Biała Miechek,170
848,Sucha Stawów,382
849,Dolna Żabinice,561
850,Dolny Krzywanka,179
851,Słoneczna Zawadęta,491
852,Wesoła Odrcze,453
853,Spokojna Łęgno,179
854,Sucha Sosnnica,346
855,Cicha Grabyce,242
856,Czarna Smugi,276
857,Nowy Czersk,494
858,Leśna Topolek,152
859,Mały Stawisko,476
860,Cichy Piaskowo,33
861,Wesoła Białin,240
862,Czarna Gaj,333
863,Cicha Stawnica,349
864,Biała Dębnęta,523
865,Dolna Białice,472
866,Stara Strumice,497
867,Miła Rudice,120
868,Leśna Brzozówka,404
869,Piaszczysta Sosnanka,447
870,Twarda Żabinnik,486
871,Wysoka Grabnik,3
872,Mokra Lisówka,275
873,Białęta,402
874,Krzywa Wierzchnik,239
875,Górny Korytek,362
876,Nowy Sosnnica,4
877,Górna Rudnica,585
878,Wydłużona Krzywów,46
879,Nowy Krzywęta,477
880,Górna Czernyce,547
881,Mętna Wierzchanka,509
882,Nowa Piaskanka,262
883,Mokra Bielawa,479
884,Twarda Białcze,184
885,Wesoła Brzozówka,548
886,Krzywa Strumcze,568
887,Złota Lisówka,115
888,Miła Bielawa,132
889,Mętna Czernice,41
890,Mokra Borkowo,322
891,Wysoka Sosnice,539
892,Wesoła Czernęta,71
893,Nowy Krzywanka,244
894,Krzywa Czernęta,180
895,Górna Kobylek,16
896,Dolny Miechice,443
897,Spokojna Łomża,135
898,Dolna Sosnanka,1
899,Kobylówka,388
900,Kręta Ropowo,267
901,Wydłużona Piaskowo,221
902,Złota Zawadnik,346
903,Krzywa Brzozanka,254
904,Cicha Topolno,196
905,Zimna Żabinówka,12
906,Wilcza Krzywnica,73
907,Ciepła Łany,325
908,Szeroka Grabno,166
909,Czerwona Łęgcze,464
910,Dolny Strumek,215
911,Ostra Żabinowo,53
912,Wilcza Grabęta,555
913,Spokojna Stawowo,411
914,Mały Piaskanka,173
915,Krzywa Dolina,352
916,Szeroka Liscze,239
917,Zielony Rudnik,595
918,Pusta Łęgyce,287
919,Słoneczna Czernno,41
920,Dolna Lisnica,289
921,Stary Gaj,177
922,Słoneczna Topolcze,157
923,Twarda Żabincze,120
924,Gliniana Rudanka,37
925,Mokra Grabnik,415
926,Mętna Zawadno,457
927,Nowy Strumcze,282
928,Stara Piaskice,176
929,Piaszczysta Żabinyce,93
930,Bagnista Grabisko,313
931,Mała Radom,514
932,Mały Kobylcze,518
933,Pusta Wadowice,458
934,Radosna Ropowo,549
935,Cichy Krzywin,115
936,Stara Korytek,382
937,Stary Odręta,408
938,Czerwona Strumanka,29
939,Pusta Żabinęta,274
940,Ostra Krzywek,411
941,Mała Stawice,489
942,Miła Grabin,4
943,Złota Dębnnica,385
944,Wydłużona Struga,124
945,Wysoka Brzozówka,292
946,Ostra Wilknik,464
947,Złota Zawadek,428
948,Wielka Wierzchnik,582
949,Mała Wierzchyce,66
950,Radosna Kamiencze,549
951,Górna Krzywęta,579
952,Słoneczna Rzeka,61
953,Cichy Gaj,476
954,Czarna Rudanka,96
955,Gładka Radom,173
956,Radosna Krzywęta,243
957,Twarda Most,385
958,Leśna Żabinów,523
959,Ciepła Zawadówka,64
960,Dolny Stawanka,443
961,Mokra Borknica,538
962,Kręta Wierzchice,513
963,Wesoła Łęgcze,181
964,Stara Wilkice,267
965,Mokra Topolisko,167
966,Czarna Grabice,87
967,Błękitna Korytowo,286
968,Górna Zarośle,425
969,Złota Zawadisko,56
970,Wydłużona Borkyce,60
971,Górny Łęgowo,259
972,Kręta Sosnisko,544
973,Czerwona Strumęta,176
974,Gładka Wierzchyce,232
975,Dolna Dębnice,94
976,Zimna Miechnik,485
977,Stara Strumówka,323
978,Radosna Żabinęta,532
979,Piaszczysta Piaskówka,90
980,Biała Stawisko,165
981,Cichy Krzywek,156
982,Szeroka Krzywno,107
983,Mokra Cisów,441
984,Ciepła Piaskno,551
985,Czarny Wierzchowo,42
986,Piaszczysta Wierzchanka,493
987,Czarny Gościniec,453
988,Gładka Zawadnica,399
989,Bagnista Łęgno,517
