id_diagnozy,nazwa,opis
78,Zapalenie gardła,Zalecane leczenie farmakologiczne.
79,Zapalenie wątroby typu A,"Ryzyko nawrotu choroby, zachować ostrożność."
80,Zapalenie pęcherza,Leczenie szpitalne nie jest wymagane.
81,Atopowe zapalenie skóry,Zalecana konsultacja specjalistyczna.
82,Zapalenie spojówek,Wskazane badania kontrolne za 2 tygodnie.
83,Grypa,Konieczność obserwacji w warunkach domowych.
84,Zapalenie gardła,Wskazane badania kontrolne za 2 tygodnie.
85,Choroba refluksowa,Konieczność obserwacji w warunkach domowych.
86,Kamica nerkowa,Zalecana zmiana stylu życia i diety.
87,Zapalenie płuc,Zalecana zmiana stylu życia i diety.
88,Zapalenie pęcherza,Zalecana konsultacja specjalistyczna.
89,Choroba refluksowa,Leczenie szpitalne nie jest wymagane.
90,COVID-19,Zalecana zmiana stylu życia i diety.
91,Zapalenie płuc,Leczenie szpitalne nie jest wymagane.
92,Choroba wieńcowa,"Ryzyko nawrotu choroby, zachować ostrożność."
93,Nowotwór piersi,"Przebieg łagodny, leczenie objawowe."
94,Borelioza,Zalecana konsultacja specjalistyczna.
95,Zapalenie pęcherza,Leczenie szpitalne nie jest wymagane.
96,Nowotwór płuc,Zalecane leczenie farmakologiczne.
97,Kamica nerkowa,Wskazane badania kontrolne za 2 tygodnie.
98,Alergia sezonowa,Zalecana konsultacja specjalistyczna.
99,Nowotwór płuc,Wymaga dalszej diagnostyki.
100,Grypa,Konieczność obserwacji w warunkach domowych.
101,Egzema,"Przebieg łagodny, leczenie objawowe."
102,Migrena,Leczenie szpitalne nie jest wymagane.
103,Nowotwór piersi,Stosować leki zgodnie z zaleceniami.
104,Migrena,Zalecane leczenie farmakologiczne.
105,Nowotwór piersi,Zalecana zmiana stylu życia i diety.
106,Zapalenie pęcherza,Wymaga dalszej diagnostyki.
107,Zapalenie ucha środkowego,Leczenie szpitalne nie jest wymagane.
108,Depresja,Stosować leki zgodnie z zaleceniami.
109,Grypa,"Przebieg łagodny, leczenie objawowe."
110,Zespół jelita drażliwego,Konieczność obserwacji w warunkach domowych.
111,Zapalenie wątroby typu A,Zalecana zmiana stylu życia i diety.
112,Zapalenie zatok,Stosować leki zgodnie z zaleceniami.
113,Niedoczynność tarczycy,Konieczność obserwacji w warunkach domowych.
114,Egzema,Wymaga dalszej diagnostyki.
115,Osteoporoza,Wymaga dalszej diagnostyki.
116,COVID-19,Konieczność obserwacji w warunkach domowych.
117,Alergia sezonowa,Konieczność obserwacji w warunkach domowych.
118,Migrena,Zalecana konsultacja specjalistyczna.
119,Zespół napięcia przedmiesiączkowego,Stosować leki zgodnie z zaleceniami.
120,Zespół jelita drażliwego,Zalecana zmiana stylu życia i diety.
121,Nowotwór płuc,"Przebieg łagodny, leczenie objawowe."
122,Zapalenie pęcherza,Zalecane leczenie farmakologiczne.
123,Depresja,"Przebieg łagodny, leczenie objawowe."
124,Nadciśnienie,Zalecana zmiana stylu życia i diety.
125,Osteoporoza,Zalecana konsultacja specjalistyczna.
126,Zapalenie pęcherza,"Ryzyko nawrotu choroby, zachować ostrożność."
127,Grypa,Stosować leki zgodnie z zaleceniami.
128,Cukrzyca typu 2,Zalecane leczenie farmakologiczne.
129,Reumatoidalne zapalenie stawów,Leczenie szpitalne nie jest wymagane.
130,Zawał serca,Wskazane badania kontrolne za 2 tygodnie.
131,Nowotwór płuc,Stosować leki zgodnie z zaleceniami.
132,Zapalenie zatok,Leczenie szpitalne nie jest wymagane.
133,Zapalenie gardła,"Przebieg łagodny, leczenie objawowe."
134,Niedoczynność tarczycy,Wskazane badania kontrolne za 2 tygodnie.
135,Zespół napięcia przedmiesiączkowego,"Ryzyko nawrotu choroby, zachować ostrożność."
136,Zapalenie ucha środkowego,Konieczność obserwacji w warunkach domowych.
137,Kamica nerkowa,Leczenie szpitalne nie jest wymagane.
138,Nadciśnienie,Zalecana zmiana stylu życia i diety.
139,COVID-19,Zalecana konsultacja specjalistyczna.
140,Zespół jelita drażliwego,Zalecana konsultacja specjalistyczna.
141,Zapalenie wątroby typu A,Leczenie szpitalne nie jest wymagane.
142,Zawał serca,"Ryzyko nawrotu choroby, zachować ostrożność."
143,Choroba wieńcowa,Wymaga dalszej diagnostyki.
144,Zapalenie wątroby typu A,Stosować leki zgodnie z zaleceniami.
145,Alergia sezonowa,Zalecane leczenie farmakologiczne.
146,Zapalenie płuc,"Ryzyko nawrotu choroby, zachować ostrożność."
147,Zapalenie ucha środkowego,Wskazane badania kontrolne za 2 tygodnie.
148,COVID-19,Zalecana zmiana stylu życia i diety.
149,Egzema,Wskazane badania kontrolne za 2 tygodnie.
150,Zapalenie płuc,Zalecana konsultacja specjalistyczna.
151,Grypa,"Przebieg łagodny, leczenie objawowe."
152,Zawał serca,Stosować leki zgodnie z zaleceniami.
153,Egzema,Zalecane leczenie farmakologiczne.
154,Zapalenie zatok,Stosować leki zgodnie z zaleceniami.
155,Migrena,Stosować leki zgodnie z zaleceniami.
156,Choroba wieńcowa,Leczenie szpitalne nie jest wymagane.
157,Grypa,Zalecana zmiana stylu życia i diety.
158,Zespół jelita drażliwego,Zalecane leczenie farmakologiczne.
159,Zespół jelita drażliwego,"Ryzyko nawrotu choroby, zachować ostrożność."
160,Niedoczynność tarczycy,Zalecane leczenie farmakologiczne.
161,Choroba wieńcowa,Konieczność obserwacji w warunkach domowych.
162,Astma,Zalecana zmiana stylu życia i diety.
163,Angina,"Ryzyko nawrotu choroby, zachować ostrożność."
164,Nowotwór piersi,"Ryzyko nawrotu choroby, zachować ostrożność."
165,Alergia sezonowa,"Ryzyko nawrotu choroby, zachować ostrożność."
166,Migrena,Zalecane leczenie farmakologiczne.
167,Zapalenie płuc,Zalecane leczenie farmakologiczne.
168,Osteoporoza,Zalecana konsultacja specjalistyczna.
169,Reumatoidalne zapalenie stawów,Wymaga dalszej diagnostyki.
170,Zapalenie spojówek,Wymaga dalszej diagnostyki.
171,Astma,"Ryzyko nawrotu choroby, zachować ostrożność."
172,Astma,Stosować leki zgodnie z zaleceniami.
173,Migrena,Leczenie szpitalne nie jest wymagane.
174,Zespół jelita drażliwego,"Przebieg łagodny, leczenie objawowe."
175,Angina,Stosować leki zgodnie z zaleceniami.
176,Kamica nerkowa,Zalecana konsultacja specjalistyczna.
177,Zapalenie płuc,Leczenie szpitalne nie jest wymagane.
178,Grypa,Wskazane badania kontrolne za 2 tygodnie.
179,Zapalenie spojówek,Zalecane leczenie farmakologiczne.
180,Cukrzyca typu 2,"Przebieg łagodny, leczenie objawowe."
181,Osteoporoza,Konieczność obserwacji w warunkach domowych.
182,Nadciśnienie,Zalecana konsultacja specjalistyczna.
183,Zawał serca,Zalecane leczenie farmakologiczne.
184,Zespół jelita drażliwego,Zalecana zmiana stylu życia i diety.
185,Egzema,Leczenie szpitalne nie jest wymagane.
186,Zapalenie spojówek,Zalecana konsultacja specjalistyczna.
187,Grypa,Konieczność obserwacji w warunkach domowych.
188,Zespół jelita drażliwego,Leczenie szpitalne nie jest wymagane.
189,Zapalenie ucha środkowego,Wymaga dalszej diagnostyki.
190,Borelioza,"Ryzyko nawrotu choroby, zachować ostrożność."
191,Nadciśnienie,Zalecana zmiana stylu życia i diety.
192,Nowotwór piersi,Wymaga dalszej diagnostyki.
193,Zapalenie gardła,Wymaga dalszej diagnostyki.
194,Alergia sezonowa,Wymaga dalszej diagnostyki.
195,Alergia sezonowa,Stosować leki zgodnie z zaleceniami.
196,Angina,Zalecana konsultacja specjalistyczna.
197,Grypa,"Przebieg łagodny, leczenie objawowe."
198,Zapalenie płuc,"Ryzyko nawrotu choroby, zachować ostrożność."
199,Nadciśnienie,"Przebieg łagodny, leczenie objawowe."
200,Zapalenie zatok,"Przebieg łagodny, leczenie objawowe."
201,Reumatoidalne zapalenie stawów,Konieczność obserwacji w warunkach domowych.
202,Astma,Wskazane badania kontrolne za 2 tygodnie.
203,Choroba refluksowa,Zalecana konsultacja specjalistyczna.
204,Zespół jelita drażliwego,Zalecana konsultacja specjalistyczna.
205,Kamica nerkowa,Wskazane badania kontrolne za 2 tygodnie.
206,Depresja,"Przebieg łagodny, leczenie objawowe."
207,Zespół jelita drażliwego,"Przebieg łagodny, leczenie objawowe."
208,Alergia sezonowa,Konieczność obserwacji w warunkach domowych.
209,Choroba wieńcowa,"Ryzyko nawrotu choroby, zachować ostrożność."
210,Choroba wieńcowa,Wymaga dalszej diagnostyki.
211,Atopowe zapalenie skóry,Stosować leki zgodnie z zaleceniami.
212,Zapalenie płuc,Stosować leki zgodnie z zaleceniami.
213,Zawał serca,Zalecana konsultacja specjalistyczna.
214,Zapalenie oskrzeli,Zalecana zmiana stylu życia i diety.
215,Zespół napięcia przedmiesiączkowego,Zalecana konsultacja specjalistyczna.
216,COVID-19,Wskazane badania kontrolne za 2 tygodnie.
217,Zapalenie ucha środkowego,Konieczność obserwacji w warunkach domowych.
218,COVID-19,Stosować leki zgodnie z zaleceniami.
219,Zespół jelita drażliwego,Wymaga dalszej diagnostyki.
220,COVID-19,Konieczność obserwacji w warunkach domowych.
221,COVID-19,"Ryzyko nawrotu choroby, zachować ostrożność."
222,Choroba wieńcowa,Zalecane leczenie farmakologiczne.
223,Zapalenie gardła,Leczenie szpitalne nie jest wymagane.
224,Alergia sezonowa,"Ryzyko nawrotu choroby, zachować ostrożność."
225,Reumatoidalne zapalenie stawów,"Ryzyko nawrotu choroby, zachować ostrożność."
226,Kamica nerkowa,Stosować leki zgodnie z zaleceniami.
227,Zespół napięcia przedmiesiączkowego,Zalecana zmiana stylu życia i diety.
228,Zapalenie oskrzeli,Stosować leki zgodnie z zaleceniami.
229,Migrena,Stosować leki zgodnie z zaleceniami.
230,Grypa,Zalecana konsultacja specjalistyczna.
231,Zapalenie spojówek,"Ryzyko nawrotu choroby, zachować ostrożność."
232,Borelioza,Stosować leki zgodnie z zaleceniami.
233,Migrena,Zalecana konsultacja specjalistyczna.
234,Zapalenie ucha środkowego,Konieczność obserwacji w warunkach domowych.
235,Zapalenie pęcherza,"Ryzyko nawrotu choroby, zachować ostrożność."
236,Alergia sezonowa,Zalecane leczenie farmakologiczne.
237,Zawał serca,Zalecana zmiana stylu życia i diety.
238,Nowotwór piersi,Zalecana zmiana stylu życia i diety.
239,Zapalenie wątroby typu A,Wskazane badania kontrolne za 2 tygodnie.
240,Nowotwór płuc,"Przebieg łagodny, leczenie objawowe."
241,Choroba wieńcowa,Stosować leki zgodnie z zaleceniami.
242,Borelioza,"Ryzyko nawrotu choroby, zachować ostrożność."
243,Niedoczynność tarczycy,Konieczność obserwacji w warunkach domowych.
244,Zapalenie oskrzeli,"Przebieg łagodny, leczenie objawowe."
245,Migrena,Wskazane badania kontrolne za 2 tygodnie.
246,Zapalenie wątroby typu A,Konieczność obserwacji w warunkach domowych.
247,Niedoczynność tarczycy,Zalecana zmiana stylu życia i diety.
248,Angina,Zalecana konsultacja specjalistyczna.
249,Zapalenie pęcherza,Konieczność obserwacji w warunkach domowych.
250,Egzema,Zalecana zmiana stylu życia i diety.
251,Reumatoidalne zapalenie stawów,Zalecana konsultacja specjalistyczna.
252,Borelioza,Zalecane leczenie farmakologiczne.
253,Nadciśnienie,Konieczność obserwacji w warunkach domowych.
254,Osteoporoza,Stosować leki zgodnie z zaleceniami.
255,Nowotwór piersi,Wskazane badania kontrolne za 2 tygodnie.
256,Zapalenie pęcherza,"Ryzyko nawrotu choroby, zachować ostrożność."
257,Grypa,Zalecana konsultacja specjalistyczna.
258,Egzema,Zalecana konsultacja specjalistyczna.
259,Zapalenie zatok,Konieczność obserwacji w warunkach domowych.
260,Nadciśnienie,Zalecana konsultacja specjalistyczna.
261,Anemia,"Przebieg łagodny, leczenie objawowe."
262,Zapalenie wątroby typu A,Wymaga dalszej diagnostyki.
263,Anemia,Zalecana konsultacja specjalistyczna.
264,Zapalenie płuc,Zalecane leczenie farmakologiczne.
265,Nowotwór płuc,Zalecana konsultacja specjalistyczna.
266,Zapalenie ucha środkowego,Wymaga dalszej diagnostyki.
267,Nowotwór płuc,Leczenie szpitalne nie jest wymagane.
268,Niedoczynność tarczycy,"Przebieg łagodny, leczenie objawowe."
269,Nowotwór płuc,Wskazane badania kontrolne za 2 tygodnie.
270,Nowotwór piersi,"Przebieg łagodny, leczenie objawowe."
271,Migrena,Wskazane badania kontrolne za 2 tygodnie.
272,Reumatoidalne zapalenie stawów,Stosować leki zgodnie z zaleceniami.
273,Reumatoidalne zapalenie stawów,Wskazane badania kontrolne za 2 tygodnie.
274,Kamica nerkowa,Konieczność obserwacji w warunkach domowych.
275,Zapalenie wątroby typu A,Zalecana zmiana stylu życia i diety.
276,Niedoczynność tarczycy,Leczenie szpitalne nie jest wymagane.
277,Cukrzyca typu 2,Stosować leki zgodnie z zaleceniami.
278,Atopowe zapalenie skóry,Zalecana zmiana stylu życia i diety.
279,Angina,"Przebieg łagodny, leczenie objawowe."
280,Alergia sezonowa,"Przebieg łagodny, leczenie objawowe."
281,Zapalenie płuc,Stosować leki zgodnie z zaleceniami.
282,Borelioza,Leczenie szpitalne nie jest wymagane.
283,Grypa,Zalecana zmiana stylu życia i diety.
284,Niedoczynność tarczycy,Wymaga dalszej diagnostyki.
285,Depresja,Zalecana konsultacja specjalistyczna.
286,Atopowe zapalenie skóry,"Przebieg łagodny, leczenie objawowe."
287,Zapalenie oskrzeli,"Przebieg łagodny, leczenie objawowe."
288,Zapalenie zatok,Wskazane badania kontrolne za 2 tygodnie.
289,Nadciśnienie,Stosować leki zgodnie z zaleceniami.
290,Zespół napięcia przedmiesiączkowego,Zalecana konsultacja specjalistyczna.
291,Zapalenie wątroby typu A,Zalecana konsultacja specjalistyczna.
292,Choroba refluksowa,Konieczność obserwacji w warunkach domowych.
293,Zespół napięcia przedmiesiączkowego,"Ryzyko nawrotu choroby, zachować ostrożność."
294,Zapalenie oskrzeli,Konieczność obserwacji w warunkach domowych.
295,Zapalenie spojówek,Zalecana konsultacja specjalistyczna.
296,Zapalenie pęcherza,Wskazane badania kontrolne za 2 tygodnie.
297,Migrena,"Ryzyko nawrotu choroby, zachować ostrożność."
298,Nadciśnienie,Stosować leki zgodnie z zaleceniami.
299,Migrena,Wskazane badania kontrolne za 2 tygodnie.
300,Grypa,Zalecana konsultacja specjalistyczna.
301,Kamica nerkowa,Zalecana konsultacja specjalistyczna.
302,Zespół napięcia przedmiesiączkowego,"Ryzyko nawrotu choroby, zachować ostrożność."
303,Grypa,"Ryzyko nawrotu choroby, zachować ostrożność."
304,Niedoczynność tarczycy,Wskazane badania kontrolne za 2 tygodnie.
305,Astma,Konieczność obserwacji w warunkach domowych.
306,Zapalenie wątroby typu A,Konieczność obserwacji w warunkach domowych.
307,Zapalenie gardła,Zalecana zmiana stylu życia i diety.
308,Zawał serca,Leczenie szpitalne nie jest wymagane.
309,Zapalenie płuc,"Ryzyko nawrotu choroby, zachować ostrożność."
310,Borelioza,Leczenie szpitalne nie jest wymagane.
311,Zapalenie płuc,Wymaga dalszej diagnostyki.
312,Alergia sezonowa,Wskazane badania kontrolne za 2 tygodnie.
313,Zespół napięcia przedmiesiączkowego,Wymaga dalszej diagnostyki.
314,Osteoporoza,Zalecane leczenie farmakologiczne.
315,Borelioza,Zalecana zmiana stylu życia i diety.
316,Choroba wieńcowa,"Przebieg łagodny, leczenie objawowe."
317,Nowotwór piersi,Wskazane badania kontrolne za 2 tygodnie.
318,Astma,"Ryzyko nawrotu choroby, zachować ostrożność."
319,Choroba refluksowa,Zalecane leczenie farmakologiczne.
320,Zapalenie gardła,"Ryzyko nawrotu choroby, zachować ostrożność."
321,Nowotwór piersi,Stosować leki zgodnie z zaleceniami.
322,Astma,Zalecana zmiana stylu życia i diety.
323,Zapalenie płuc,Konieczność obserwacji w warunkach domowych.
324,Zapalenie wątroby typu A,Stosować leki zgodnie z zaleceniami.
325,Choroba refluksowa,Zalecane leczenie farmakologiczne.
326,Zespół jelita drażliwego,Zalecana konsultacja specjalistyczna.
327,Choroba refluksowa,Stosować leki zgodnie z zaleceniami.
328,Zapalenie spojówek,Zalecane leczenie farmakologiczne.
329,Zawał serca,Stosować leki zgodnie z zaleceniami.
330,Zapalenie zatok,Zalecane leczenie farmakologiczne.
331,Zapalenie gardła,Stosować leki zgodnie z zaleceniami.
332,Zapalenie oskrzeli,Leczenie szpitalne nie jest wymagane.
333,Niedoczynność tarczycy,"Przebieg łagodny, leczenie objawowe."
334,Alergia sezonowa,Wymaga dalszej diagnostyki.
335,Migrena,Zalecana konsultacja specjalistyczna.
336,Osteoporoza,"Ryzyko nawrotu choroby, zachować ostrożność."
337,Zapalenie wątroby typu A,Konieczność obserwacji w warunkach domowych.
338,Zapalenie ucha środkowego,"Ryzyko nawrotu choroby, zachować ostrożność."
339,Anemia,Leczenie szpitalne nie jest wymagane.
340,Nowotwór piersi,Zalecane leczenie farmakologiczne.
341,Cukrzyca typu 2,Stosować leki zgodnie z zaleceniami.
342,Zapalenie płuc,Zalecane leczenie farmakologiczne.
343,Osteoporoza,Zalecana zmiana stylu życia i diety.
344,Migrena,Wskazane badania kontrolne za 2 tygodnie.
345,Nadciśnienie,Stosować leki zgodnie z zaleceniami.
346,Zapalenie zatok,Wskazane badania kontrolne za 2 tygodnie.
347,Niedoczynność tarczycy,Zalecane leczenie farmakologiczne.
348,Alergia sezonowa,Konieczność obserwacji w warunkach domowych.
349,Nadciśnienie,Wskazane badania kontrolne za 2 tygodnie.
350,Zapalenie gardła,"Przebieg łagodny, leczenie objawowe."
351,Choroba wieńcowa,Konieczność obserwacji w warunkach domowych.
352,Anemia,Zalecane leczenie farmakologiczne.
353,Zapalenie płuc,Zalecana zmiana stylu życia i diety.
354,Nowotwór płuc,"Przebieg łagodny, leczenie objawowe."
355,Zapalenie wątroby typu A,Konieczność obserwacji w warunkach domowych.
356,Alergia sezonowa,Konieczność obserwacji w warunkach domowych.
357,Zapalenie oskrzeli,Zalecana zmiana stylu życia i diety.
358,Niedoczynność tarczycy,Zalecana konsultacja specjalistyczna.
359,Choroba refluksowa,Konieczność obserwacji w warunkach domowych.
360,Grypa,Wskazane badania kontrolne za 2 tygodnie.
361,COVID-19,Zalecane leczenie farmakologiczne.
362,Zapalenie spojówek,Zalecana konsultacja specjalistyczna.
363,Zespół jelita drażliwego,Konieczność obserwacji w warunkach domowych.
364,Nowotwór piersi,Zalecana zmiana stylu życia i diety.
365,Kamica nerkowa,Wymaga dalszej diagnostyki.
366,Depresja,"Przebieg łagodny, leczenie objawowe."
367,Angina,Stosować leki zgodnie z zaleceniami.
368,Depresja,Wymaga dalszej diagnostyki.
369,Choroba refluksowa,Zalecana zmiana stylu życia i diety.
370,Nowotwór piersi,Zalecana zmiana stylu życia i diety.
371,Zapalenie spojówek,Zalecana zmiana stylu życia i diety.
372,Borelioza,Leczenie szpitalne nie jest wymagane.
373,Zespół napięcia przedmiesiączkowego,"Ryzyko nawrotu choroby, zachować ostrożność."
374,Grypa,Stosować leki zgodnie z zaleceniami.
375,Borelioza,Stosować leki zgodnie z zaleceniami.
376,Zapalenie ucha środkowego,"Ryzyko nawrotu choroby, zachować ostrożność."
377,Osteoporoza,"Ryzyko nawrotu choroby, zachować ostrożność."
378,Atopowe zapalenie skóry,"Przebieg łagodny, leczenie objawowe."
379,Zapalenie pęcherza,Wskazane badania kontrolne za 2 tygodnie.
380,Choroba wieńcowa,Wskazane badania kontrolne za 2 tygodnie.
381,Zapalenie oskrzeli,Zalecana zmiana stylu życia i diety.
382,Nadciśnienie,"Ryzyko nawrotu choroby, zachować ostrożność."
383,Zapalenie ucha środkowego,Wymaga dalszej diagnostyki.
384,COVID-19,Leczenie szpitalne nie jest wymagane.
385,Zapalenie płuc,Konieczność obserwacji w warunkach domowych.
386,Choroba refluksowa,Stosować leki zgodnie z zaleceniami.
387,Zawał serca,"Ryzyko nawrotu choroby, zachować ostrożność."
388,Angina,Zalecana konsultacja specjalistyczna.
389,Zapalenie pęcherza,Zalecana zmiana stylu życia i diety.
390,Zapalenie ucha środkowego,Zalecana zmiana stylu życia i diety.
391,Zapalenie wątroby typu A,Wskazane badania kontrolne za 2 tygodnie.
392,Angina,Konieczność obserwacji w warunkach domowych.
393,Atopowe zapalenie skóry,"Przebieg łagodny, leczenie objawowe."
394,Zespół napięcia przedmiesiączkowego,Leczenie szpitalne nie jest wymagane.
395,Reumatoidalne zapalenie stawów,Wskazane badania kontrolne za 2 tygodnie.
396,Zapalenie gardła,Wymaga dalszej diagnostyki.
397,Niedoczynność tarczycy,"Przebieg łagodny, leczenie objawowe."
398,COVID-19,Wymaga dalszej diagnostyki.
399,Choroba refluksowa,Zalecana konsultacja specjalistyczna.
400,Zapalenie pęcherza,Wskazane badania kontrolne za 2 tygodnie.
401,Zapalenie spojówek,Stosować leki zgodnie z zaleceniami.
402,COVID-19,Wskazane badania kontrolne za 2 tygodnie.
403,Zespół jelita drażliwego,Stosować leki zgodnie z zaleceniami.
404,Zapalenie płuc,Wymaga dalszej diagnostyki.
405,Kamica nerkowa,Leczenie szpitalne nie jest wymagane.
406,Niedoczynność tarczycy,"Przebieg łagodny, leczenie objawowe."
407,Niedoczynność tarczycy,"Ryzyko nawrotu choroby, zachować ostrożność."
408,Nowotwór piersi,Konieczność obserwacji w warunkach domowych.
409,Zawał serca,Zalecana konsultacja specjalistyczna.
410,Alergia sezonowa,Wskazane badania kontrolne za 2 tygodnie.
411,Choroba refluksowa,Zalecane leczenie farmakologiczne.
412,Borelioza,"Ryzyko nawrotu choroby, zachować ostrożność."
413,Alergia sezonowa,Wymaga dalszej diagnostyki.
414,Zespół napięcia przedmiesiączkowego,Zalecana zmiana stylu życia i diety.
415,Zapalenie spojówek,Wskazane badania kontrolne za 2 tygodnie.
416,Zapalenie spojówek,"Przebieg łagodny, leczenie objawowe."
417,Angina,Zalecana zmiana stylu życia i diety.
418,Depresja,Zalecana konsultacja specjalistyczna.
419,Nadciśnienie,Zalecana zmiana stylu życia i diety.
420,Zapalenie spojówek,Zalecane leczenie farmakologiczne.
421,Kamica nerkowa,Zalecana zmiana stylu życia i diety.
422,Anemia,Zalecana konsultacja specjalistyczna.
423,Nowotwór płuc,Wymaga dalszej diagnostyki.
424,Zapalenie płuc,Zalecane leczenie farmakologiczne.
425,Zespół napięcia przedmiesiączkowego,Leczenie szpitalne nie jest wymagane.
426,Egzema,Zalecana konsultacja specjalistyczna.
427,Nowotwór piersi,Stosować leki zgodnie z zaleceniami.
428,Anemia,Zalecana konsultacja specjalistyczna.
429,Nowotwór płuc,"Przebieg łagodny, leczenie objawowe."
430,Kamica nerkowa,Zalecana konsultacja specjalistyczna.
431,Choroba refluksowa,Wymaga dalszej diagnostyki.
432,Angina,"Przebieg łagodny, leczenie objawowe."
433,Nowotwór piersi,"Ryzyko nawrotu choroby, zachować ostrożność."
434,Anemia,Zalecana zmiana stylu życia i diety.
