id_miejscowosc,nazwa
173,Czarny Ropek
174,Stary Odrice
175,Kręta Czernisko
176,Miła Sosnanka
177,Słoneczna Rudno
178,Zielona Krzywek
179,Kręta Wierzchowo
180,Stary Piasknica
181,Radosna Piaskcze
182,Wysoka Ropanka
183,Nowa Sosnek
184,Mętna Kobylice
185,Szeroka Wierzchówka
186,Dolny Zawadanka
187,Biała Lisin
188,Stary Strumnica
189,Górny Grabek
190,Biała Kamienek
191,Mętna Stawyce
192,Radosna Kamienanka
193,Strumęta
194,Słoneczna Żabinęta
195,Biała Ropanka
196,Wydłużona Łęgówka
197,Wielka Grabów
198,Mały Białin
199,Mętna Sosnęta
200,Krzywa Piaskanka
201,Czarny Rudnica
202,Dolna Wilkno
203,Mała Złotice
204,Miła Kobylów
205,Stary Kamienisko
206,Złota Czernówka
207,Mokra Łęgcze
208,Czarna Rudówka
209,Biała Kopce
210,Wilcza Sosnek
211,Czerwona Lisnik
212,Stary Czernowo
213,Krosno
214,Bagnista Złotno
215,Wysoka Borkyce
216,Radosna Ropcze
217,Mętna Topolów
218,Wysoka Żabinek
219,Sucha Złotanka
220,Dolny Lisisko
221,Zimna Brzozówka
222,Mała Krzywnica
223,Górna Wilkyce
224,Szeroka Rudnik
225,Nowy Zawadówka
226,Biała Dębnice
227,Szeroka Łęgcze
228,Radosna Borków
229,Ostra Borków
230,Czarny Miechówka
231,Cichy Brzozów
232,Radosna Borknica
233,Mętna Zawadów
234,Kręta Sosnęta
235,Gładka Rudanka
236,Wielki Ropno
237,Wielki Grabcze
238,Piaszczysta Wilkice
239,Wysoka Brzozek
240,Spokojna Kamienówka
241,Radosna Wilkice
242,Wesoła Rudęta
243,Gliniana Odrisko
244,Stara Piaskisko
245,Czarny Piaskice
246,Złota Żabincze
247,Sucha Łęgowo
248,Wilcza Brzozek
249,Nowa Złotek
250,Wilcza Miechisko
251,Błękitna Korytice
252,Cichy Czernnik
253,Nowa Grabyce
254,Wielki Miechice
255,Ropczyce
256,Miła Strumowo
257,Mały Wolica
258,Stary Piaskice
259,Sucha Zarośle
260,Górna Kobylanka
261,Czerwona Zawadnik
262,Wielki Grabyce
263,Czarny Odrnik
264,Miła Rudanka
265,Wielki Krzywów
266,Czarny Borkno
267,Zimna Zawadęta
268,Sucha Korytno
269,Cichy Kamienice
270,Cichy Czernęta
271,Bagnista Białisko
272,Stary Topolek
273,Nowy Lisówka
274,Kręta Kobylowo
275,Górna Tarnów
276,Nowa Baranów
277,Błękitna Żabinno
278,Nowy Piaskcze
279,Dolny Topolcze
280,Mały Korytanka
281,Pusta Strumcze
282,Twarda Cisów
283,Miła Łęgowo
284,Radosna Świerki
285,Wysoka Zawadnica
286,Dolna Stawnica
287,Górna Wilknik
288,Złota Rudin
289,Wesoła Korytanka
290,Mały Stróże
291,Złota Złotin
292,Wilcza Sosnisko
293,Zimna Knieja
294,Twarda Grabów
295,Ciepła Grabowo
296,Wilcza Dębnnik
297,Pusta Most
298,Błękitna Stawówka
299,Leśna Zawadanka
300,Nowy Krzywnica
301,Szeroka Baranów
302,Spokojna Dębnek
303,Czarny Dębnyce
304,Miła Borkanka
305,Czarny Złotówka
306,Wysoka Piaskowo
307,Ostra Ropyce
308,Czarna Korytnica
309,Wydłużona Kamionki
310,Wielka Dębnno
311,Stara Borkno
312,Rudisko
313,Leśna Żabinin
314,Zimna Białówka
315,Dolny Korytin
316,Pusta Borków
317,Górna Góra
318,Wesoła Odrice
319,Mokra Stawyce
320,Błękitna Stawanka
321,Piaszczysta Łęgowo
322,Słoneczna Strumisko
323,Miła Błonie
324,Ropanka
325,Leśna Odranka
326,Miła Ropno
327,Cichy Zagórze
328,Spokojna Kobylisko
329,Dolny Ropisko
330,Mokra Głogów
331,Nowy Ropin
332,Zielony Kamienówka
333,Radosna Lisin
334,Nowy Brzozcze
335,Cichy Rudnica
336,Wielka Knieja
337,Radosna Kamienno
338,Spokojna Miechisko
339,Górny Czerncze
340,Ostra Krzywno
341,Czerwona Wilkek
342,Krzywa Lisisko
343,Pusta Wilkanka
344,Zielony Łęgisko
345,Bagnista Rzeka
346,Twarda Olszówka
347,Miła Rzeka
348,Dolna Złotęta
349,Zielony Ropek
350,Szeroka Bór
351,Mętna Łęgisko
352,Szeroka Miechnik
353,Cicha Skrzynka
354,Twarda Wilkcze
355,Zimna Sosnisko
356,Stara Grabice
357,Słoneczna Piaskin
358,Stary Wierzchice
359,Spokojna Topolnik
360,Stara Zawadek
361,Dolny Wierzchin
362,Miła Lisek
363,Ciepła Białice
364,Czerwona Rudowo
365,Czarny Ropyce
366,Czarny Dębnówka
367,Kręta Kamienyce
368,Słoneczna Topolęta
369,Kręta Łęgek
370,Wilcza Uroczysko
371,Mała Lisice
372,Radosna Rudyce
373,Wysoka Miechnik
374,Piaszczysta Krzywcze
375,Mały Białówka
376,Wielka Źródło
377,Błękitna Topolin
378,Nowa Stawęta
379,Stary Las
380,Górna Łęgęta
381,Dolna Lisisko
382,Cicha Łęgcze
383,Bagnista Białno
384,Górny Korytęta
385,Wesoła Odrów
386,Dolny Kamiencze
387,Odrno
388,Miła Kobylin
389,Czarny Ropęta
390,Stara Odryce
391,Gładka Strumnica
392,Wydłużona Korytisko
393,Słoneczna Krzywnica
394,Radosna Ropisko
395,Mętna Topolnica
396,Ciepła Błonie
397,Gliniana Dębnek
398,Zimna Zawadanka
399,Spokojna Kobylnica
400,Bagnista Łęgisko
401,Czarna Piaskice
402,Złota Cisów
403,Ostra Strumnica
404,Ostra Miechęta
405,Krzywa Miechyce
406,Biała Piaskęta
407,Czerwona Odrek
408,Mętna Dębnnik
409,Stara Łęgek
410,Mały Odręta
411,Wielka Wierch
412,Wysoka Wierzchice
413,Nowa Miechisko
414,Zielona Topolice
415,Krzywa Baranów
416,Szeroka Brzozęta
417,Wydłużona Brzeźno
418,Gliniana Rudcze
419,Słoneczna Wrzosy
420,Sucha Korytów
421,Spokojna Zawadek
422,Czerwona Kobylnik
423,Zimna Topolęta
424,Nowa Zawadno
425,Spokojna Piaskcze
426,Mętna Grabice
427,Bagnista Wilkin
428,Szeroka Stawisko
429,Mokra Krosno
430,Bagnista Wierzchno
431,Wysoka Borkowo
432,Ciepła Stawin
433,Wilcza Piaskice
434,Wydłużona Złotyce
435,Piaszczysta Rudów
436,Twarda Sosny
437,Czarny Łany
438,Stara Odrcze
439,Mała Dębncze
440,Nowa Łęgnik
441,Spokojna Kobylęta
442,Wydłużona Ropin
443,Stary Czernin
444,Spokojna Sosnisko
445,Stara Topolek
446,Pusta Złotno
447,Czarna Strumów
448,Gładka Borkice
449,Dolny Wilkno
450,Czarny Łęganka
451,Wielki Borkcze
452,Wielki Łęganka
453,Ciepła Borkowo
454,Stara Odranka
455,Wydłużona Borkęta
456,Krzywa Wierzchcze
457,Dolna Kobylnik
458,Bagnista Miechek
459,Wilcza Łęgcze
460,Gładka Sosnnik
461,Wielka Lisowo
462,Kręta Grabanka
463,Wilcza Strumice
464,Wysoka Zawadin
465,Wydłużona Rudęta
466,Sucha Żabinek
467,Radosna Korytyce
468,Twarda Rudice
469,Wesoła Kamienowo
470,Piaszczysta Stróże
471,Dolna Kamienno
472,Wielki Zawadęta
473,Sucha Piaskowo
474,Spokojna Rudanka
475,Czarny Dębnnica
476,Dolna Białówka
477,Nowa Rudcze
478,Szeroka Lisin
479,Stary Grabnica
480,Krzywowo
481,Twarda Rudnik
482,Gliniana Piaskcze
483,Mała Krzywanka
484,Ostra Cisów
485,Krzywa Stawęta
486,Sucha Dębnno
487,Piaszczysta Brzozin
488,Twarda Żabinówka
489,Spokojna Korytęta
490,Górna Wierzchno
491,Krzywa Odrno
492,Mała Wilkek
493,Gładka Żabinyce
494,Sucha Piaskek
495,Wydłużona Złotice
496,Gładka Stawyce
497,Wydłużona Łęgęta
498,Mała Rudnik
499,Dolna Borkek
500,Zielony Borknica
501,Złota Sosnnica
502,Kręta Dębnówka
503,Piaszczysta Borkęta
504,Czarna Korytanka
505,Zielona Brzozin
506,Słoneczna Piaskyce
507,Stary Grabowo
508,Ciepła Bór
509,Wesoła Kobylnica
510,Gliniana Zawadice
511,Bagnista Czersk
512,Zimna Białice
513,Ostra Kamienowo
514,Szeroka Ropin
515,Nowy Młyn
516,Cichy Krzywnica
517,Wielki Głęboczek
518,Stary Brzozyce
519,Mała Stróże
520,Krzywa Łęgin
521,Piaskisko
522,Odryce
523,Złota Łęgów
524,Dolny Stawno
525,Błękitna Czernek
526,Pusta Zagórze
527,Mokra Czernówka
528,Gładka Sosnisko
529,Słoneczna Las
530,Zielona Krzywanka
531,Ciepła Krzywowo
532,Zielony Mokra
533,Kręta Czersk
534,Ostra Czernanka
535,Błękitna Brzozowo
536,Wysoka Rudowo
537,Cichy Borkin
538,Radosna Żabinyce
539,Biała Odrnik
540,Ostra Strumno
541,Pusta Złotisko
542,Bagnista Ropowo
543,Gliniana Ropnica
544,Piaszczysta Dolina
545,Mały Bór
546,Stara Żabinno
547,Sucha Grabyce
548,Ciepła Łęgisko
549,Biała Wierch
550,Mokra Sulisław
551,Wilcza Miechowo
552,Leśna Strumyce
553,Dolny Kamienice
554,Słoneczna Borknica
555,Nowa Borknik
556,Krzywa Brzozisko
557,Biała Miechnik
558,Dolna Złotów
559,Mały Kamienęta
560,Sucha Krzywisko
561,Spokojna Stawanka
562,Biała Kobylice
563,Nowy Skrzynka
564,Zimna Białin
565,Ostra Dębnówka
566,Gładka Rudisko
567,Wilcza Ropice
568,Górna Sosnnik
569,Stara Grabcze
570,Cichy Wierzchcze
571,Błękitna Rudnik
572,Stara Błonie
573,Miła Wilków
574,Twarda Żabinów
575,Mętna Rudęta
576,Czarna Głęboczek
577,Nowa Piaskcze
578,Gładka Strumyce
579,Pusta Kobylcze
580,Górna Żuławy
581,Miła Ropek
582,Dolny Topolyce
583,Cichy Wierzchęta
584,Błękitna Kobylno
585,Radosna Lisanka
586,Krzywa Topolanka
587,Wesoła Korytów
588,Gładka Rudin
589,Wilcza Borkcze
590,Dolny Lisek
591,Gładka Kamienek
592,Spokojna Dębnęta
593,Twarda Krzywno
594,Wydłużona Lisno
595,Wydłużona Czernice
596,Ostra Zawadisko
597,Spokojna Wilkowo
598,Wilcza Kobylnik
599,Twarda Złotin
600,Zimna Rudowo
601,Górna Łęgisko
602,Słoneczna Czernanka
603,Pusta Ropno
604,Złota Żabinice
605,Leśna Złotyce
606,Gliniana Żuławy
607,Górna Korytno
608,Mętna Grabęta
609,Pusta Lisanka
610,Górny Wadowice
611,Zimna Dębnówka
612,Ostra Odręta
613,Zimna Skała
614,Zielona Borkin
615,Nowa Ropisko
616,Gładka Piaskyce
617,Górny Olszyny
618,Cichy Brzoznik
619,Dolny Łęgęta
620,Pusta Krzywice
621,Spokojna Lisowo
622,Słoneczna Sosnyce
623,Wysoka Żabinisko
624,Czerwona Białanka
625,Gładka Korytówka
626,Krzywa Złotów
627,Wysoka Olszówka
628,Kręta Łęgice
629,Złota Białyce
630,Górna Czernęta
631,Nowy Łęgówka
632,Dolny Białowo
633,Wielka Błonie
634,Twarda Strumęta
635,Cicha Krzywin
636,Spokojna Miechcze
637,Biała Białno
638,Mały Miechnik
639,Mały Dębnówka
640,Kręta Kobylęta
641,Dolny Grabno
642,Górna Złotek
643,Ciepła Dębnnica
644,Nowy Borkcze
645,Stary Czernów
646,Radosna Miechówka
647,Zimna Łęgice
648,Dolna Strumów
649,Leśna Stawówka
650,Czerwona Przemyśl
651,Piaszczysta Krzywno
652,Czarny Rudcze
653,Olszyny
654,Leśna Wilkek
655,Krzywnik
656,Zielona Rudanka
657,Górna Rudęta
658,Błękitna Lisów
659,Bagnista Lisin
660,Bagnista Kamienów
661,Krzywa Brzeg
662,Kręta Ropanka
663,Krzywa Żabinek
664,Wielki Białyce
665,Krzywa Staw
666,Złota Modrzew
667,Stary Białcze
668,Wilcza Gaj
669,Pusta Topolice
670,Wysoka Czernanka
671,Ciepła Odrice
672,Wilcza Łęgnik
673,Czarny Rudowo
674,Stara Krzywnik
675,Wysoka Wierzchnik
676,Słoneczna Brzeg
677,Gładka Białisko
678,Czarna Odrno
679,Cicha Sosnowo
680,Cicha Kamienęta
681,Miła Rudnik
682,Miła Radom
683,Radosna Białek
684,Bagnista Ropówka
685,Cichy Korytyce
686,Gliniana Piaskowo
687,Złota Odranka
688,Gliniana Kamiencze
689,Wilcza Mokra
690,Kręta Czernowo
691,Wilcza Piasków
692,Nowy Grabcze
693,Czarna Brzozin
694,Słoneczna Żabinówka
695,Miła Kobylówka
696,Mały Jar
697,Bagnista Grabowo
698,Słoneczna Kamiennik
699,Mętna Odrcze
700,Stary Złotnik
701,Pusta Brzozowo
702,Wielka Zawadowo
703,Cicha Kamień
704,Nowa Ropyce
705,Stara Korytno
706,Wesoła Borkcze
707,Czarna Rudno
708,Kręta Strumnica
709,Mała Stawyce
710,Ostra Łęgęta
711,Wielka Przemyśl
712,Mały Zawadice
713,Stary Lisice
714,Zielona Grabanka
715,Dolna Rudowo
716,Mała Piaskanka
717,Mokra Korytyce
718,Złota Łęgowo
719,Stary Jary
720,Mała Topolnica
721,Wydłużona Topolnik
722,Zielony Czersk
723,Szeroka Piaskek
724,Wilcza Dębnyce
725,Czarna Wolica
726,Radosna Rudowo
727,Gliniana Wierzchyce
728,Gliniana Grabcze
729,Radosna Odrnica
730,Mała Ropin
731,Wilcza Olszówka
732,Czernówka
733,Złota Łęgisko
734,Mały Zawadnica
735,Bagnista Grabcze
736,Ostra Grabnik
737,Dolny Topolówka
738,Wilcza Rudówka
739,Nowy Dębnice
740,Miła Czernyce
741,Wydłużona Rudowo
742,Zimna Zawadnik
743,Czerwona Zawadów
744,Spokojna Grabisko
745,Mały Topolno
746,Zielona Wilkęta
747,Twarda Złotcze
748,Ostra Korytisko
749,Miła Kamienęta
750,Cichy Lisowo
751,Krzywa Borkin
752,Zielona Rudno
753,Wysoka Dębnin
754,Słoneczna Lisice
755,Ostra Wilkyce
756,Czarny Piasków
757,Błękitna Piaskyce
758,Czerwona Brzozowo
759,Biała Bielawa
760,Wysoka Czernów
761,Stary Wilkisko
762,Biała Borknica
763,Dolny Brzeg
764,Nowa Łęgówka
765,Dolna Modrzew
766,Dolna Kobylek
767,Zielony Białno
768,Cichy Miechów
769,Biała Brzozno
770,Krzywa Sosnowiec
771,Górny Ropin
772,Wydłużona Lisyce
773,Wydłużona Wilkisko
774,Nowy Ropowo
775,Słoneczna Sosnówka
776,Twarda Lisowo
777,Krzywa Sosnów
778,Leśna Kamienyce
779,Nowa Krzywcze
780,Stary Kobylyce
781,Sucha Miechęta
782,Stara Białin
783,Słoneczna Krzywówka
784,Zielony Czernówka
785,Czarna Piaskówka
786,Krzywa Wydma
787,Bagnista Złotyce
788,Zielona Dębnin
789,Ciepła Rudówka
790,Mały Wierzchowo
791,Krzywa Stawice
792,Leśna Piaskęta
793,Górna Kobylice
794,Spokojna Kamienanka
795,Dolny Zawadęta
796,Bagnista Grabów
797,Stara Zawadyce
798,Górny Odrówka
799,Miła Krzywyce
800,Błękitna Brzozcze
801,Mokra Wierzchowo
802,Mokra Miechcze
803,Szeroka Głogów
804,Cichy Zawadice
805,Spokojna Olszyny
806,Stara Dębnowo
807,Bagnista Wilkisko
808,Stara Borków
809,Ciepła Struga
810,Błękitna Ropówka
811,Nowy Stawanka
812,Gliniana Czernek
813,Złota Piaskek
814,Miła Borkęta
815,Zielony Odrnica
816,Piaszczysta Wolica
817,Krzywa Żabinyce
818,Gładka Wilkek
819,Błękitna Wilkęta
820,Słoneczna Wierzchęta
821,Ostra Lisów
822,Nowa Żabinin
823,Mętna Lisów
824,Mokra Grabisko
825,Wesoła Odryce
826,Twarda Sosnnik
827,Nowa Dębnin
828,Mała Kamień
829,Gładka Odrcze
830,Piaszczysta Rudice
831,Cicha Grabówka
832,Zimna Sosnice
833,Górna Kobylisko
834,Złota Krzywowo
835,Nowy Ropyce
836,Pusta Piasków
837,Wesoła Żabinów
838,Błękitna Miechyce
839,Stary Krzywisko
840,Zielona Wierzchnica
841,Błękitna Dębnyce
842,Ostra Białcze
843,Mokra Strumnik
844,Spokojna Łęgek
845,Zielona Borknik
846,Biała Dębnowo
847,Biała Miechek
848,Sucha Stawów
849,Dolna Żabinice
850,Dolny Krzywanka
851,Słoneczna Zawadęta
852,Wesoła Odrcze
853,Spokojna Łęgno
854,Sucha Sosnnica
855,Cicha Grabyce
856,Czarna Smugi
857,Nowy Czersk
858,Leśna Topolek
859,Mały Stawisko
860,Cichy Piaskowo
861,Wesoła Białin
862,Czarna Gaj
863,Cicha Stawnica
864,Biała Dębnęta
865,Dolna Białice
866,Stara Strumice
867,Miła Rudice
868,Leśna Brzozówka
869,Piaszczysta Sosnanka
870,Twarda Żabinnik
871,Wysoka Grabnik
872,Mokra Lisówka
873,Białęta
874,Krzywa Wierzchnik
875,Górny Korytek
876,Nowy Sosnnica
877,Górna Rudnica
878,Wydłużona Krzywów
879,Nowy Krzywęta
880,Górna Czernyce
881,Mętna Wierzchanka
882,Nowa Piaskanka
883,Mokra Bielawa
884,Twarda Białcze
885,Wesoła Brzozówka
886,Krzywa Strumcze
887,Złota Lisówka
888,Miła Bielawa
889,Mętna Czernice
890,Mokra Borkowo
891,Wysoka Sosnice
892,Wesoła Czernęta
893,Nowy Krzywanka
894,Krzywa Czernęta
895,Górna Kobylek
896,Dolny Miechice
897,Spokojna Łomża
898,Dolna Sosnanka
899,Kobylówka
900,Kręta Ropowo
901,Wydłużona Piaskowo
902,Złota Zawadnik
903,Krzywa Brzozanka
904,Cicha Topolno
905,Zimna Żabinówka
906,Wilcza Krzywnica
907,Ciepła Łany
908,Szeroka Grabno
909,Czerwona Łęgcze
910,Dolny Strumek
911,Ostra Żabinowo
912,Wilcza Grabęta
913,Spokojna Stawowo
914,Mały Piaskanka
915,Krzywa Dolina
916,Szeroka Liscze
917,Zielony Rudnik
918,Pusta Łęgyce
919,Słoneczna Czernno
920,Dolna Lisnica
921,Stary Gaj
922,Słoneczna Topolcze
923,Twarda Żabincze
924,Gliniana Rudanka
925,Mokra Grabnik
926,Mętna Zawadno
927,Nowy Strumcze
928,Stara Piaskice
929,Piaszczysta Żabinyce
930,Bagnista Grabisko
931,Mała Radom
932,Mały Kobylcze
933,Pusta Wadowice
934,Radosna Ropowo
935,Cichy Krzywin
936,Stara Korytek
937,Stary Odręta
938,Czerwona Strumanka
939,Pusta Żabinęta
940,Ostra Krzywek
941,Mała Stawice
942,Miła Grabin
943,Złota Dębnnica
944,Wydłużona Struga
945,Wysoka Brzozówka
946,Ostra Wilknik
947,Złota Zawadek
948,Wielka Wierzchnik
949,Mała Wierzchyce
950,Radosna Kamiencze
951,Górna Krzywęta
952,Słoneczna Rzeka
953,Cichy Gaj
954,Czarna Rudanka
955,Gładka Radom
956,Radosna Krzywęta
957,Twarda Most
958,Leśna Żabinów
959,Ciepła Zawadówka
960,Dolny Stawanka
961,Mokra Borknica
962,Kręta Wierzchice
963,Wesoła Łęgcze
964,Stara Wilkice
965,Mokra Topolisko
966,Czarna Grabice
967,Błękitna Korytowo
968,Górna Zarośle
969,Złota Zawadisko
970,Wydłużona Borkyce
971,Górny Łęgowo
972,Kręta Sosnisko
973,Czerwona Strumęta
974,Gładka Wierzchyce
975,Dolna Dębnice
976,Zimna Miechnik
977,Stara Strumówka
978,Radosna Żabinęta
979,Piaszczysta Piaskówka
980,Biała Stawisko
981,Cichy Krzywek
982,Szeroka Krzywno
983,Mokra Cisów
984,Ciepła Piaskno
985,Czarny Wierzchowo
986,Piaszczysta Wierzchanka
987,Czarny Gościniec
988,Gładka Zawadnica
989,Bagnista Łęgno
990,Leśna Sosnnica
991,Sucha Borknik
992,Leśna Korytcze
993,Wesoła Ropcze
994,Zimna Głęboczek
995,Zielony Kopce
996,Szeroka Grabowo
997,Sucha Lisnica
998,Czerwona Brzozin
999,Miła Strumnica
1000,Gładka Piaskówka
1001,Szeroka Krzywów
1002,Górny Ropisko
1003,Gliniana Kobylów
1004,Sucha Topolów
1005,Spokojna Lisanka
1006,Stara Czernnica
1007,Mokra Krzywnica
1008,Wydłużona Białin
1009,Zielona Wilknica
1010,Mokra Wrzosy
1011,Pusta Odrówka
1012,Sucha Żabinin
1013,Szeroka Głęboczek
1014,Biała Stróże
1015,Dolny Dębnanka
1016,Czarny Borkin
1017,Piaszczysta Miechisko
1018,Mętna Rzeka
1019,Górna Białnica
1020,Górny Czernowo
1021,Leśna Korytisko
1022,Cicha Miechęta
1023,Nowa Bór
1024,Gliniana Radom
1025,Twarda Topolowo
1026,Gliniana Korytów
1027,Cicha Rudek
1028,Leśna Dębnnik
1029,Cichy Jar
1030,Zielony Krzywyce
1031,Twarda Wierzchice
1032,Wysoka Wierzchów
1033,Górna Odrówka
1034,Czarna Grabyce
1035,Głęboczek
1036,Leśna Wierzchin
1037,Mętna Wierzchin
1038,Dolny Wilkisko
1039,Radosna Źródło
1040,Dolna Zawadisko
1041,Zielony Złotyce
1042,Sucha Brzozowo
1043,Dolna Piasknik
1044,Wielki Grabek
1045,Krzywa Kobylisko
1046,Kręta Czernice
1047,Ostra Złotnik
1048,Stary Białnik
1049,Biała Zagórze
1050,Biała Strumnica
1051,Mała Topolyce
1052,Twarda Ropin
1053,Złota Strumnik
1054,Dolna Kamień
1055,Dolny Lisice
1056,Pusta Brzozice
1057,Miła Krzywcze
1058,Spokojna Krzywice
1059,Błękitna Stawowo
1060,Pusta Lisek
1061,Czarny Krosno
1062,Szeroka Łęgyce
1063,Czarna Borkyce
1064,Błękitna Stawów
1065,Piaszczysta Ropówka
1066,Wielka Piaskowo
1067,Zimna Stawnica
1068,Zielony Wierzchowo
1069,Czarna Korytowo
1070,Wielki Lisisko
1071,Spokojna Kobylów
1072,Mokra Liscze
1073,Gładka Brzozisko
1074,Krzywa Czernyce
1075,Leśna Gościniec
1076,Zielony Łęgówka
1077,Pusta Złotin
1078,Leśna Borkno
1079,Bagnista Miechanka
1080,Cicha Łęgisko
1081,Górny Krzywice
1082,Leśna Brzozowo
1083,Wilcza Miechów
1084,Gliniana Żabincze
1085,Wydłużona Miechek
1086,Górna Topolów
1087,Górna Krzywowo
1088,Radosna Łęgin
1089,Twarda Skrzynka
1090,Leśna Wrzosy
1091,Wielki Kobylnik
1092,Krzywa Łęgice
1093,Mętna Czernówka
1094,Leśna Wierzchęta
1095,Spokojna Dębnin
1096,Bagnista Kamiennik
1097,Biała Miechęta
1098,Mętna Gaj
1099,Stary Lisek
1100,Gładka Kobylisko
1101,Leśna Białanka
1102,Krzywa Piaskice
1103,Błękitna Topolnik
1104,Czarna Bielawa
1105,Górna Piaskno
1106,Piaszczysta Piasknica
1107,Górna Zawadice
1108,Cicha Jar
1109,Bagnista Korytno
1110,Nowy Krzywin
1111,Wielka Odrówka
1112,Górny Krzywyce
1113,Wesoła Źródło
1114,Miła Złotówka
1115,Błękitna Topolno
1116,Ciepła Krzywów
1117,Mętna Łęganka
1118,Biała Piaskówka
1119,Wydłużona Knieja
1120,Gładka Jary
1121,Nowa Białanka
1122,Słoneczna Zawadcze
1123,Ostra Złotisko
1124,Cichy Kamienin
1125,Ciepła Miechów
1126,Dolny Rudów
1127,Stara Dębnno
1128,Czerwona Rudisko
1129,Stara Zawadnica
1130,Wielka Ropęta
1131,Sucha Stawisko
1132,Stara Strumyce
1133,Sucha Rzeka
1134,Stary Zawadówka
1135,Dolna Topolin
1136,Czarna Żabinice
1137,Nowy Borkanka
1138,Gładka Wilkisko
1139,Zimna Borkęta
1140,Cicha Wadowice
1141,Mętna Jary
1142,Stara Strumowo
